GUID;SatzID;Pre;Match;Post;figuré (f) ou concret (c);Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date_;dc:rights
3f31f447dac746ae880fc85a5c4b4d8d;113;"IR E IL UNE erreur qui triomphe en fait adopter mille ; El l'imposteur alors , courbant l'homme imbécile , Lui fera sous le joug de sa crédulité Dévorer tout mensonge et toute absurdité . Amis, n'en doutons plus, oui, les mathématiques Enfantent de nos jours cerveaux";paralytiques;". Tout l'esprit s'y dessèche ; et ce lourd instrument Veut usurper l'Autel du tendre sentiment .";f;Mercier_Satires contre les astronomes;ark__12148_bpt6k5725055r;https://gallica.bnf.fr/ark:/12148/bpt6k5725055r;Satires contre les astronomes;Mercier, Louis-Sébastien (1740-1814);A Paris, chez Terrelonge, libraire, rue des Petits-Augustins, près le Musée national. An XI - 1803;1803;"22 p. ; in-16, Nombre total de vues : 28";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30928677h;Bibliothèque nationale de France, département Littérature et art, YE-27636;Avec mode texte;bnf.fr;840;80;monographie;91560;2009-09-21 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
00b5d568dc3740aba09efc7b3d161dfe;1938;Quelle nouvelle vivacité succède à celle que le monde inspire ! Elle poursuit: Dieu me donnera peut-être la santé, pour aller servir cette;paralytique;": au moins je le ferai par mes soins, si les forces me manquent; et joignant mes maux aux siens, je les offrirai plus hardimentà Dieu. Mandez-moi ce qu'il faut Pour la ( ILEccli .";c;Bossuet_Oraisons funèbres;ark__12148_bpt6k9612397h;https://gallica.bnf.fr/ark:/12148/bpt6k9612397h;Oraisons funèbres ;Bossuet, Jacques Bénigne (1627-1704), Bourdaloue, Louis (1632-1704), Fléchier, Esprit (1632-1710), Massillon, Jean-Baptiste (1663-1742), Lacordaire, Henri-Dominique (1802-1861);Librairie Aristide Quillet (Paris);1928;"1 vol. (XI-330 p.) : grav. ; in-8, Nombre total de vues : 360";français;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12559866n', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31848791q'];Bibliothèque nationale de France, département Littérature et art, 8-Z-25168 (9);"''Oraisons funèbres (français), Collection : Classiques Quillet, ''''Comprend : Le vrai repentir ; Julie dAgennes ; Lhypocrisie ; Nous naimons pas Dieu'''', Contient une table des matières, Avec mode texte''";bnf.fr;840;80;monographie;99710;2015-10-19 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
0920d0cee1ec4abfb44e69cad26a244b;341;Cela n'est que trop véritable , répondit l'hôtesse : dans quelque état fâcheux que vous puissiez vous les représenter , vous ne sauriez vous imaginer des personnes qui soient plus à plaindre . Le bonhomme Gil Perez est devenu;paralytique;"de la moitié du corps, et n'ira pas loin, selon toutes les apparences; votre père, qui demeure depuis peu chez ce chanoine,a une fluxion de poitrine, ou, pour GIL BLAS DE SANTILLANE 113 mieux dire, il est dans ce moment entre la vie et la mort; et votre mère, qui ne se porte pas trop bien, est obligée de servir de gardeà l'un età l'autre. Telle est leur situation .";c;Lesage_Gil Blas de Santillane... Édition;ark__12148_bpt6k5772921h;https://gallica.bnf.fr/ark:/12148/bpt6k5772921h;Gil Blas de Santillane... Édition pour la jeunesse, avec introduction par Louis Tarsot,...;Lesage, Alain-René (1668-1747);(Paris);1907;In-4° , III-126 p., fig., Nombre total de vues : 152;français;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119426464', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30801016c'];Bibliothèque nationale de France, département Littérature et art, 4-Y2-6030;Histoire de Gil Blas de Santillane (français), Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;97650;2010-01-12 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
0e6b10e0825f47df98ad505879f7574b;346;"du manège , jusqu'au rentier qui touche froidement ses rentes ; A répondu que , voyant tous les jours dans les papiers publics que le roi étoit journellement insulté à Paris , il avoit pensé que les Parisiens ne méritoient pas de posséder Louis XVI au milieu d'eux . A lui observé que le roi, qu'il prétend n'avoir pas été libre dans Paris, n'a pourtant jamais tant fait usage de son veto, pour";paralyser;"les décrets les plus bienfaisanttt décrets propresà ramener la tranquillité publique, en se débarrassant des prêtres perturbateurs;A dit qu'ila entendu dire que le roi avoit mis son veto sur quelques décrets, mais qu'il ne peut dire s'il faisoit bien ou mal, attendu qu'il n'est pas juge du roi. Ici M .";f;Cazotte_Oeuvres badines et morales, historiques;ark__12148_bpt6k97434265;https://gallica.bnf.fr/ark:/12148/bpt6k97434265;Oeuvres badines et morales, historiques et philosophiques de Jacques Cazotte. Tome 1 ;Cazotte, Jacques (1719-1792);J.-F. Bastien (Paris);1817;"4 vol., pl. ; in-8, Nombre total de vues : 584";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb302107105'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302107105']'';Bibliothèque nationale de France, département Littérature et art, Z-29378;Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;9850;2016-09-19 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
125be44382b342b09b826b70d41c3a73;1405;Mme la comtesse d'Harcourt est dans son lit depuis quatre ans . J'ai un parent2, âgé de vingt-quatre ans, devenu;paralytique;pour le reste de sa vie. Pour moi , je partage mes misères entre Genève et cette petite maison où je vous ai fait ma cour .;c;Voltaire (1694-1778)_Oeuvres complètes de Voltaire. 44,12;ark__12148_bpt6k6510547t;https://gallica.bnf.fr/ark:/12148/bpt6k6510547t;Oeuvres complètes de Voltaire. 44,12 ;Voltaire (1694-1778), Condorcet, Jean-Antoine-Nicolas de Caritat marquis de (1743-1794);Garnier frères (Paris);1877-1885;"52 vol. ; 24 cm, Nombre total de vues : 614";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31602455d'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31602455d']'';Bibliothèque nationale de France, département Littérature et art, 8-Z-721 (44);Comprend : Vie de Voltaire, Appartient à l’ensemble documentaire : GTextes1, Avec mode texte;bnf.fr;840;80;monographie;99930;2013-03-26 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
16e83d6750af4456844ae965eb819016;270;de son comité lorsque l'un d'eux a VouTé hasarder $a timide opinion /C . && parlé et tout ce qui l'environnoit s'est trouvé,;paralysé;,' tant est puissant l'empire du génie. Si C , s peraoit son temps à raisonner* je lui dirois avec la confiance qu'inspirent ceux qu'on estime mon cher président '' tous n'avez pas pu vous n'me&pas \d$i '' vous n'avez pas sçu '' .;f;Choderlos de Laclos_Les grands hommes du jour;ark__12148_bpt6k402815;https://gallica.bnf.fr/ark:/12148/bpt6k402815;Les grands hommes du jour ([Reprod.]) ;Choderlos de Laclos, Pierre-Ambroise-François (1741-1803), Rivarol, Antoine de (1753-1801), Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791);s.n.s.n.;1790-1791;"6 microfiches ; 105*148 mm, Nombre total de vues : 163";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb37277047g;Bibliothèque nationale de France;"Collection : Les archives de la Révolution française ; 6.2.729, Collection : Les archives de la Révolution française ; 6.2.729, Contient une table des matières, Ouvrages avant 1800";bnf.fr;9440;90;monographie;95440;2007-10-15 00:00:00;"[{'@xml:lang': 'fre', '#text': ""conditions spécifiques d'utilisation - Collection Les archives de la Révolution française""}, {'@xml:lang': 'eng', '#text': 'restricted use'}]"
1739daed131642e1a002f1686ac356e3;2388;Sur quoi saint Ambroise fait une observation aussi vraie qu'elle est ingénieuse , quand il dit que cette facilité qu'a le riche d'expier ainsi les désordres de sa vie , nous est excellemment figurée par le miracle qu'opéra le Fils de Dieu dans la personne d'un malade dont parle saint Luc . Il était;paralytique;d'une main, et Jésus-Christ ne fit autre chose que de lui commander d'étendre cette main qui dans le moment même se trouva saine: Extende manum tuam, et restituta est( MATTH. XII ) .;cf;Fléchier_Chefs-d'oeuvre oratoires de Fléchier, Bourdaloue.;ark__12148_bpt6k6458009r;https://gallica.bnf.fr/ark:/12148/bpt6k6458009r;Chefs-d'oeuvre oratoires de Fléchier, Bourdaloue. [Petit Carême ;Fléchier, Esprit (1632-1710), Massillon, Jean-Baptiste (1663-1742), Bourdaloue, Louis (1632-1704);Furne (Paris);1853;"1 vol. (478 p.) ; in-8, Nombre total de vues : 506";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30440681c;Bibliothèque nationale de France, département Littérature et art, X-25169;Comprend : Petit carême, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99960;2012-12-24 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
1bd794ff53a6440d899e43aeff903374;3283;'' Le même recueil en août 1749 annonce une guérison miraculeuse due aux gouttes de Madame la Générale . En 1750, le Mercure continueà louer l'élixir de la générale qui guérit: l'apoplexie, la goutte, la;paralysie;, les pleurésies, la rougeole, la petite vérole, les fièvres malignes et les fluxions de poitrine. Il est encore souverain pour le lait répandu , les par ses gouttes , une autre femme surannée , qu'on appelait à Paris la baronne Blanche , et qui était encore maîtresse de M .;cf;Casanova_Casanova à Paris : ses;ark__12148_bpt6k63862473;https://gallica.bnf.fr/ark:/12148/bpt6k63862473;Casanova à Paris : ses séjours racontés par lui-même ;Casanova, Giacomo (1725-1798);J. Schemit (Paris);1913;"1 vol. (XII-511-XVI p.) ; in-8, Nombre total de vues : 558";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31912779z;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-3640;Contient une table des matières, Avec mode texte;bnf.fr;9440;90;monographie;99960;2012-12-17 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
1bd794ff53a6440d899e43aeff903374;7385;L'énotme dépense que je faisais , ma trop grande prodigalité et mon amour pour le plaisir et la magnificence me faisaient apercevoir malgré moi des désagréments dans un avenir plus ou moins éloigné . Ma manufacture m'aurait mis en état de continuer longtemps, si les malheurs de la guerre n'avaient;paralysé;"le débit; mais je devais nécessairement me ressentir de la gêne générale qui régnait en France dans tous les états. J'avais dans mon magasin quatre cents pièces d'étoffes peintes , mais il n'était pas probable que je les vendisse avant la paix , et cette paix tant désirée n'était guère possible que dans un avenir loin encore , j'étais menacé d'une sorte de ruine .";f;Casanova_Casanova à Paris : ses;ark__12148_bpt6k63862473;https://gallica.bnf.fr/ark:/12148/bpt6k63862473;Casanova à Paris : ses séjours racontés par lui-même ;Casanova, Giacomo (1725-1798);J. Schemit (Paris);1913;"1 vol. (XII-511-XVI p.) ; in-8, Nombre total de vues : 558";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31912779z;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Z LE SENNE-3640;Contient une table des matières, Avec mode texte;bnf.fr;9440;90;monographie;99960;2012-12-17 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
1e9c41a432114eb580b85c4d2b519ec7;386;ma fille , me disoit-elle , que tes transports me rendent coupable '' Cependant cette joie que nous avions , elle et moi , de nous revoir ensemble , nous la payâmes toutes deux bien cher . Soit que la force des mouvemens qu'elle avoit éprouvés eût fait une trop grande révolution en elle, soit que sa fièvre et ses chagrins l'eussent déjà trop affaiblie, on s'aperçut quelques jours après d'une;paralysie;"qui lui tenoit tout le côté droit, qui gagna bientôt l'autre côté, et qui lui resta jusqu'à la fin de sa vie. Je parlai ce jour-là même de la transporter dans notre hôtel ; mais sa fièvre qui avoit augmenté , jointe à son extrême foiblesse , ne le permirent pas , et un médecin que j'envoyai chercher nous en empêcha .";c;Marivaux_La vie de Marianne. précédée;ark__12148_bpt6k423605v;https://gallica.bnf.fr/ark:/12148/bpt6k423605v;La vie de Marianne. précédée d'une notice par M. de Lescure. T3 ;Marivaux, Pierre de (1688-1763), Lescure, Adolphe de (1833-1892);(Paris);1882;"3 vol. : frontisp. gr. ; in-16, Nombre total de vues : 290";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30886616w'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb120655399', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30886616w']'';Bibliothèque nationale de France, département Littérature et art, 8-Z-1628 (5,3);"La vie de Marianne (français), Collection : Bibliothèque des dames ; 5, Collection : Bibliothèque des dames ; 5, Comprend : Marivaux romancier";bnf.fr;840;80;monographie;96790;2008-03-03 00:00:00;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
