GUID;SatzID;Pre;Match;Post;figuratif (f) ou concret (c);Dateiname;Ark;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:type;sdewey;dewey;setSpec;dc:description;dc:source;dc:relation;dc:rights;dc:identifier;datestamp;@xmlns:dc;@xmlns:oai_dc;@xmlns:xsi;@xsi:schemaLocation;provenance;typedoc;nqamoyen;mode_indexation;first_indexation_date
43828ac5cf294448b38427eae7fc92c7;1811;"H répondit à toutes ces violences par ce cri uniforme qui devait être désormais son seul langage . Les animaux ont des sons différents pour exprimer la joie ou la douleur; mais l'homme atteint de folie";paralytique;git au dernier degré de l'échelle des êtres. Le Ta '' se lassa de le battre avant qu'il se doutât qu'il était battu .;cf;About_Germaine (Nouv. éd.);ark__12148_bpt6k807476;Germaine (Nouv. éd.) ;About, Edmond (1828-1885);Paris;1925;"314 p. ; 19 cm, Nombre total de vues :  322";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Collection : Collection choisie', 'Collection : Collection choisie', 'Appartient à l’ensemble documentaire : UnivJeun0'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-69654;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb316965278;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k807476;2019-07-20;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;8357;text;2007-10-14 22:00:00
b4859948310243f585db0cfc509219bc;3273;"Les Bonafigue s'étaient montrés plus calmes que leur tempérament méridional ne le faisait espérer ; mais le pauvre vieux caissier , M . Courtois, avait reçu une telle secousse qu'il en restait";paralysé;"du côté droit,:: Lorsque ma mère eut fini son martyrologe, elle me dit:'' Remarques-lu: que tous les; coups ont porté autour de toi? Devines-tu que'le délateurne pouvait être qu'un envieux , ; un ennemi aigri par tes succès , un-homme intéressé , à la perte ?";f;About_Le roman d'un brave homme;ark__12148_bpt6k5796701v;Le roman d'un brave homme ;About, Edmond (1828-1885);Paris;1882;"V-323 p. : fig., pl. ; Gr. in-8°, Nombre total de vues :  338";fre;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Appartient à l’ensemble documentaire : UnivJeun0', 'Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, 4-Y2-746;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013938;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k5796701v;2021-02-05;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9394;text;2010-09-05 22:00:00
18f713ff65c248bf8414400e2d3ea398;2617;"'' Ni Gaston ni Lucile ne furent dupes de ce discours , mais ils en furent victimes ; l'impudence réussit presque toujours avec les jeunes gens , parce qu'ils éprouvent une sorte de honte à réfuter un mensonge . Dans la circonstance présente, une autre espèce de délicatesse";paralysait;le courage de Lucile et de Gaston. Ces cœurs honnêtes auraient cru manquer à la pudeur en affrontant le mauvais vouloir de Mme Benoît .;f;About_Les mariages de Paris;ark__12148_bpt6k6362284k;Les mariages de Paris ;About, Edmond (1828-1885);Hachette et Cie (Paris);1856;"1 vol (II-411 p.) ; in-16, Nombre total de vues :  424";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, Y2-12683;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001312f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k6362284k;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9996;text;2012-10-28 23:00:00
b292237ee0a746928d87546a64b43a17;1527;On le laissait entrer dans la salle à manger sur la fin du dessert , et , debout devant la famille assise , le riche maquignon d'affaires buvait un verre de vin comme le facteur rural ou le premier garde venu . Cette hospitalité hautaine le tenaità distance et;paralysait;un peu ses moyens, mais il se dédommageait aux cuisines, avec la certitude que ses paroles ne tombaient pas dans l'eau. Il y répéta si souvent et avec tant d'assurance : Je peux faire gagner un million à M .;f;About_Les mariages de province (6e;ark__12148_bpt6k9602426h;Les mariages de province (6e édition) ;About, Edmond (1828-1885);Hachette et Cie (Paris);1883;"1 vol. (335 p.) ; in-16, Nombre total de vues :  354";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-15015;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013353;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k9602426h;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9929;text;2015-06-14 22:00:00
b292237ee0a746928d87546a64b43a17;1657;"D'aucuns prétendent que sa fille s'est un peu dépouillée , d'autres qu'il a dépouillé sa fille . Personne ne suppose que le comte Gérard soit venuà la rescousse: ila fait une bien longue bsence et dans le plus mauvais moment, ce Gérard; mais, en somme, on avait soldé le plus gros l'année dernière, quand le marquis fut frappé de";paralysie;". Voilà sa succession ouverte depuis dix mois ; le comte et la comtesse se sont fait envoyer en possession du château et des deux domaines ; ils payeront ce qui reste dft .";c;About_Les mariages de province (6e;ark__12148_bpt6k9602426h;Les mariages de province (6e édition) ;About, Edmond (1828-1885);Hachette et Cie (Paris);1883;"1 vol. (335 p.) ; in-16, Nombre total de vues :  354";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-15015;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013353;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k9602426h;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9929;text;2015-06-14 22:00:00
11428f132e4743e8bbbbbd3c08826f35;2927;'' Mme Meiser , plus immobile et plus maigre qu'une statue du treizième siècle , ouvrait une grande bouche édentée . L'épouvante la;paralysait;. L'homme , mieux préparé à la visite du fantôme , arma son revolver sous la table et visa le colonel en criant : Vade retro , Satanas !;f;About_L'homme à l'oreille cassée (3e;ark__12148_bpt6k65118490;L'homme à l'oreille cassée (3e éd.) ;About, Edmond (1828-1885);L. Hachette (Paris);1862;"1 vol. (277-12 p.) ; in-16, Nombre total de vues :  310, application/epub+zip";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, Y2-12664;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001274q;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k65118490;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9999;text;2013-07-30 22:00:00
11428f132e4743e8bbbbbd3c08826f35;3537;La pauvre enfant pleurait aussi , car elle aimait Léon de toute son âme , mais elle s'était interdit de le lui dire . Plus d'une fois, en le voyantà demi pâmé devant elle, elle fut tentée de lui jeter les bras autour du cou, mais le souvenir de Fougas;paralysait;tous les mouvements de sa tendresse. '' Mon pauvre ami , lui disait-elle , vous me jugez bien mal si vous me croyez insensible à vos maux .;f;About_L'homme à l'oreille cassée (3e;ark__12148_bpt6k65118490;L'homme à l'oreille cassée (3e éd.) ;About, Edmond (1828-1885);L. Hachette (Paris);1862;"1 vol. (277-12 p.) ; in-16, Nombre total de vues :  310, application/epub+zip";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, Y2-12664;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001274q;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k65118490;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9999;text;2013-07-30 22:00:00
35016c586e11466c91ccbea634179ea1;1486;"Vous avouerez sans doute que je l'avais bien gagnée : les années pouvaient compter double au service de cet homme-là . Léon Bréchot m'ouvrit ses bras, et j'entrai de plain-pied dans les bureaux de son père; mais j'étais fatigué, ahuri, battu de l'oiseau, mon cerveau s'était comme";paralysé;, grâce au régime stupéfiant de la pension. La grande activité de la maison Bréchot , le mouvement rapide et décidé qui nous emportait tous à travers les affaires , le bruit des millions qui sortaient , qui rentraient , qui tantôt s'éparpillaient aux quatre vents , tantôt s'empilaient dans la caisse comme des pièces de cent sous , l'importance des moindres détails , la confiance aveugle qu'on avait en moi , la responsabilité qui s'ensuivait , tout cela me fit peur , et je demandai grâce .;cf;About_L'infâme (3e édition);ark__12148_bpt6k6551199k;L'infâme (3e édition) ;About, Edmond (1828-1885);Hachette (Paris);1880;"1 vol. (291 p.) ; in-16, Nombre total de vues :  308";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];Avec mode texte;Bibliothèque nationale de France, département Littérature et art, 8-Y2-4133;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300012841;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k6551199k;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9993;text;2013-11-03 23:00:00
35016c586e11466c91ccbea634179ea1;1863;Je ne songeai pas même à m'étonner de cette connaissance et de cette familiarité . D'un côté la rencontre, de l'autre l'accident;paralysaient;un peu mes moyens. Quoique ma femme fût sujette aux syncopes , quoiqu'on m'eût affirmé que le mariage devait l'en guérir , je n'assistais jamais sans épouvante à ces petits simulacres de la mort .;f;About_L'infâme (3e édition);ark__12148_bpt6k6551199k;L'infâme (3e édition) ;About, Edmond (1828-1885);Hachette (Paris);1880;"1 vol. (291 p.) ; in-16, Nombre total de vues :  308";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];Avec mode texte;Bibliothèque nationale de France, département Littérature et art, 8-Y2-4133;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300012841;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k6551199k;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9993;text;2013-11-03 23:00:00
735e0b79ad2f4dd3923db4b509adf026;2029;Il y avait six mois qu'une maladie du système nerveux avait pour ainsi dire liquidé ses comptes de jeunesse en lui faisant payer en gros tous les plaisirs qu'il s'était donnés en détail . Le malheureux était resté un an entre la vie et la mort, perclus de tous ses membres, presque muet, presque sourd, presque aveugle et menacé d'une;paralysie;"complète. Les médecins l'avaient tiré de là , comme on retire un tableau d'un incendie : il était à peu près méconnaissable Il marchait au besoin ; ses yeux vagues et injectés pouvaient lire une demi-colonne de journal ; son estomac digérait couramment un potage .";c;About_Madelon (7e édition);ark__12148_bpt6k6489453p;Madelon (7e édition) ;About, Edmond (1828-1885);Hachette et Cie (Paris);1877;"1 vol. (562 p.) ; in-16, Nombre total de vues :  584";['fre', 'français'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];84;8;['gallica:theme:8:84', 'gallica:typedoc:monographies'];['Contient une table des matières', 'Avec mode texte'];Bibliothèque nationale de France, département Littérature et art, 8-Y2-667;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013024;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];https://gallica.bnf.fr/ark:/12148/bpt6k6489453p;2018-04-26;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;bnf.fr;monographie;9996;text;2013-04-28 22:00:00
