Unnamed: 0;Frequenz (-1 = copycat);GUID;SatzID;Pre;Match;Post;figurativ (f) ou concret (c);Dateiname;dc:title;dc:creator;dc:publisher;dc:date;dewey;sdewey;typedoc;datestamp;@xmlns:dc;@xmlns:oai_dc;@xmlns:xsi;@xsi:schemaLocation;dc:identifier;dc:format;dc:language;dc:relation;dc:type;dc:source;dc:rights;dc:description;provenance;source;nqamoyen;mode_indexation;first_indexation_date;ark
1;1;922bdb4f8abc4afcb29f84cfd3e0a86c;21;' Nous sommes pareils à ceux qui , au fond des âges , ont vécu l'agonie de Babylone ou de la Rome impériale , de ces grandes puissances décomposées qui se sont écroulées moins scus le choc de l'invasion jeune que sous le poids de leurs crimes , et contre qui criaient les sombres prophètes et les premiers apôtres . — Nous sommes pareilsà ces témoins désespérés et;paralysés;des cataclysmes antiques, et pourtant, la décadence que nous contemplons est cette fois,, plus universelle, plus profonde et plus irrémédiable. Il ne s'agit plus d'une cité , d'une dynastie ou d'une race , il s'agit des lois de la vie commune et de la race même des hommes .;f;Barbusse_La lueur dans l'abîme ;La lueur dans l'abîme : ce que veut le groupe Clarté ;Barbusse, Henri (1873-1935);(Paris);1920;30;300;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k113315d;"['1 vol. (153 p.) ; 19 cm', 'Nombre total de vues : 155']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761578h;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051;16780;;2008-03-12 00:00:00;ark__12148_bpt6k113315d
9;1;ccb3c26f59db4e72bebc6ef44d6968ec;42;J'ai vu surtout sa figure blême où déteignait la lueur fauve de l'or oui , le souffle d'ouragan n'a pas éteint la lampe assez vite pour me dérober cette figure . C'est le;paralytique;. C'est l'assassin , l C'est .;c;Barbusse_Nous autres... ;Nous autres... ;Barbusse, Henri (1873-1935);(Paris);1914;80;840;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k113318j;"['1 vol. (363 p.) ; in-18', 'Nombre total de vues : 371']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761582r;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];['Collection : Bibliothèque charpentier', 'Collection : Bibliothèque charpentier'];bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779;82170;text;2010-06-15 00:00:00;ark__12148_bpt6k113318j
0;1;6f2e28ad2d6a4d919dcf2f3cc899c838;46;Cette conception sentimentale , où s'acharnent sans fraterniser les moralistes nébuleux et les théoriciens libertaires , n'a , socialement , qu'une valeur momentanée d'opposition , de résistance au mal , qu'une influence destructive , utile , mais provisoire . Au seuil de la réalisation''à pied d'oeuvre'', la confusion dont elle est entachée la;paralyse;. Gardons un pieux espoir en l'embellissement futur de la nature humaine , mais en attendant , sachons constater ce .;f;Barbusse_Le couteau entre les dents;Le couteau entre les dents : aux intellectuels ;Barbusse, Henri (1873-1935);(Paris);1921;30;300;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k113316s;['1 vol. (80 p.) : 17 cm', 'Nombre total de vues : 84'];['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34983053f;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 16-Z-28256;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];;bnf.fr;Bibliothèque nationale de France, département Littérature et art, 16-Z-28256;94370;text;2008-03-12 00:00:00;ark__12148_bpt6k113316s
2;1;abaf61d22199479eb78610a0a56a89be;68;Outre que j'ai vu des histoires passionnantes , l'histoire et les passions du passé me sont devenues plus intelligibles . Dans son orgueil où je distingue mal si je vois un candidatà la;paralysie;"générale ou bien un rude pédant infatué de sa culture supérieure(1), Nietschea osé écrire que les hommes politiques sont des querelleursà qui nous fournissons leurs arguments, des inférieurs que nous vô(1) vô(1) toutefois que le jeune Renan, si nuancé cl souple par la suite, eut de ces manières impolies dans l'Avenir de la Science, NATIONALISME, DÉTERMINISME6 tons de nos livrées pour leur donner u'ne raison d'être, des gladiateurs affamés de se battre età qui nos doctrines qu'ils déforment aussitôt apportent tant bien que mal un prétexte. ' ; Ce n'est pas juste ( 1 ) .";cf;Barrès_Scènes et doctrines du nationalisme;Scènes et doctrines du nationalisme ;Barrès, Maurice (1862-1923);F. Juven (Paris);1902;30;320;monographie;2018-04-26 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k56013884;"['1 vol. (518 p.) ; in-16', 'Nombre total de vues : 532', 'application/epub+zip']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34040107f;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB57-13281;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];['Contient une table des matières', 'Avec mode texte'];bnf.fr;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB57-13281;93730;text;2009-08-17 00:00:00;ark__12148_bpt6k56013884
4;1;088e63433a3b468fa5b4333d41a18450;104;Or , je ne peux pas me résoudre à la destruction , à la destruction de cela qui pourtant ne vit plus qu '' un peu . Bien que je sache et que je sente que ce serait la façon la plus noble et la plus claire de servir la vie —■ en détruisant sa forme usée, pour faire placeà une nouvelle forme— au momentd'' agir je me sens;paralysé;, et je me raccroche avec une crispation de ma- GENÈVE OU MOSCOU 207 niaqueà ce que je méprise mais qui est mon habitude. Ne voyant dans la seule révolution possible en Occident qu '' une réaction , c '' est-à-dire une destruction totale qui nous ramènerait à l '' état de nature , je ne puis sauter le pas .;f;Drieu La Rochelle_Genève ou Moscou ;Genève ou Moscou ;Drieu La Rochelle, Pierre (1893-1945);(Paris);1928;80;890;monographie;2020-03-13 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k4223019v;"['268 p. ; 19 cm', 'Nombre total de vues : 279']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb354529749;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-7393;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Z R ROLLAND-7393;8960;text;2019-11-25 00:00:00;ark__12148_bpt6k4223019v
8;1;4148f37157864cc38be4d08145f23b5d;116;. '' Sengle se retrouvait dans la cour des Miracles:l'' idiot, le sourd, le borgne, le;paralytique;, le boiteux, le bossu et le nain, cariatides de leurs sacs pleins de toute Farinée, se tordaient dans les tourments del'' escrimeà la baïonnette du peloton de punition. Le peloton des Elèvcs-Cabos , en face , plus difforme que son vis-à-vis , crachait des imitations de commandements et ses restes d '' intelligence hors de scs hydrocéphaliques gueules , sur ses membres estropiés , bandés de courroies anorthopédiques , de chevaux de labour .;c;Jarry_Les jours et les nuits;Les jours et les nuits : roman d'un déserteur ;Jarry, Alfred (1873-1907);''Société du ''''Mercure de France'''' (Paris)'';1897;;;monographie;2021-05-25 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k9921454;"['1 vol. (279 p.) ; 19 cm', 'Nombre total de vues : 310']";fre;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb122604662', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30647257f'];[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}];Bibliothèque nationale de France, département Littérature et art, 8-Y2-50871;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];['[Les jours et les nuits (français)]', 'Avec mode texte'];bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Y2-50871;87640;text;2017-05-22 00:00:00;ark__12148_bpt6k9921454
1;1;49f4e2d8483841ec8ee2881622ac2c1c;120;Le lieutenant Sou chier a reçu de sa femme la nouvelle qu '' il y a quarante prisonniers à Roanne ! Pas un enfant, pas une vieille;paralytique;, sur la route de Gharlieu, qui ne les ait déjà vus. Après tout , tout est bien , si l '' on recueille , dans le Massif Central , les prisonniers qui se métamorphosent devant nous et si l '' on trouve en ce moment des obusiers , des mortiers Krupp sur les monts d '' Auvergne .;c;Giraudoux_Retour d'Alsace;Retour d'Alsace : août 1914 ;Giraudoux, Jean (1882-1944);(Paris);1916;90;940;monographie;2020-04-03 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k874231f;"['1 vol. (103 p.) ; in-12', 'Nombre total de vues : 112']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34084136t;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LH4-2820;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LH4-2820;88030;text;2015-11-02 00:00:00;ark__12148_bpt6k874231f
11;1;266724c54b4e4349a3ca785abd5e75a4;131;C'était toujours au moment où je m'étais arrangé pour confondre ma destinée avec celle de ma génération , de mon pays , ou de mon siècle , que la destinée s'était plu à me ramener au comble ou au pire détail de mon existence individuelle . J'aurais dû penser, par exemple,à la guerre,à laquelle j'étais arrivé aussi vide et dénué de passé qu'Adam au Paradis terrestre, et dont tout le sens avait été perdu pour moi,à cause de cette;paralysie;qui avait frappé mon oncle une heure avant mon départ pour l'armée. J'avais juste eu le temps de relever une sorte de stèle vivante , privée de paroles et de mouvements , de la consolider , de maintenir une minute , de mes deux mains , sa tête droite pour qu'il pût me voir lui disant adieu , de passer cette tête à deux autres mains pour qu'il pût me voir franchissant la porte , et j'étais parti !;c;Giraudoux_Combat avec l'ange ;Combat avec l'ange : roman ;Giraudoux, Jean (1882-1944);B. Grasset (Paris);1934;80;840;monographie;2018-04-26 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k9739153m;"['1 vol. (332 p.) ; in-16', 'Nombre total de vues : 358']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32169861n;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 8-Y2-75249 (5,1);[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Y2-75249 (5,1);9960;text;2016-08-29 00:00:00;ark__12148_bpt6k9739153m
6;1;266724c54b4e4349a3ca785abd5e75a4;151;Par bonheur , au lieu de basculer , de rougir et de tomber de côté comme une masse , Annie ce matin était devenue pâle , s'était au contraire tenue droite à décourager un fil à plomb , avait au contraire accéléré ses pas , c'était elle , et non moi , qui avait pris une porte sur laquelle mes regards en effet s'étaient fixés un moment , un moment que j'avais cru long , mais que je reconnais avoir été bien bref , si je le compare aux cinq ans de mon oncle . Ma liberté tenait, puisque je n'étais pas obligé de revenir toutes les demiannées vers Annie;paralysée;et insensible. Du fait qu'elle courait avec une valise , qu'elle souffrait dans un taxi , peut-être dans un autobus , j 'entrai dans mon bureau en être libre , en être seul .;f;Giraudoux_Combat avec l'ange ;Combat avec l'ange : roman ;Giraudoux, Jean (1882-1944);B. Grasset (Paris);1934;80;840;monographie;2018-04-26 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k9739153m;"['1 vol. (332 p.) ; in-16', 'Nombre total de vues : 358']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32169861n;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 8-Y2-75249 (5,1);[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Y2-75249 (5,1);9960;text;2016-08-29 00:00:00;ark__12148_bpt6k9739153m
45;1;68696d225db444c88067daf4d0032f6d;184;28 . Son âme était;paralytique;, faute de mots. 29 .;f;Barbusse_Jésus ;Jésus ;Barbusse, Henri (1873-1935);(Paris);1927;80;840;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k1133128;"['1 vol. (249 p.) ; 18 cm', 'Nombre total de vues : 256']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317615744;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-H-8480;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];;bnf.fr;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-H-8480;90880;text;2008-03-12 00:00:00;ark__12148_bpt6k1133128
2;1;922bdb4f8abc4afcb29f84cfd3e0a86c;188;La formule bourgeoise : '' Enrichissez-vous , c'est-à-dire : dressez-vous les uns , contre les autres , les uns sur les autres , essayez de vous terrasser et de vous dominer , essayez chacun d'être l'exception profiteuse '' — , cette formule , reflet de la loi universelle du plus fort , a amoncelé les gaspillages et consacré l'écrasement du reste des hommes . Tous les services vitaux du pays sont;paralysés;par les exigences de l'enrichissement in-. dividuel , l'hypertrophie des intérêts personnels , l'idée fixe de '' l'arrivisme '' , la dérobade automatique des fantoches administratifs devant la responsabilité — par lesystème tout , entier .;f;Barbusse_La lueur dans l'abîme ;La lueur dans l'abîme : ce que veut le groupe Clarté ;Barbusse, Henri (1873-1935);(Paris);1920;30;300;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k113315d;"['1 vol. (153 p.) ; 19 cm', 'Nombre total de vues : 155']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761578h;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051;16780;;2008-03-12 00:00:00;ark__12148_bpt6k113315d
3;1;627abedc66d749b1a3a0aec34b3ce31e;200;qui est un rôle d'enseignement et de charité . Mais nous n'admettons pas davantage que le législateur interdise ou;paralyse;leur action au dehors, soit directement en les supprimant, soit indirectement en leur enlevant des ressources indispensables et en leur rendant tout recru(1) Voir sur ces questions J~u~~t o~f~ débat. de la Chambre , .;f;Barrès_Faut-il autoriser les congrégations;Faut-il autoriser les congrégations ? Les pères blancs ;Barrès, Maurice (1862-1923);Plon-Nourrit (Paris);1923-1924;20;200;monographie;2022-12-02 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k827617;"2 vol. (45, 20 p.) ; in-8";fre;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb34064326n'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34064326n']'';[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}];Bibliothèque nationale de France, département Littérature et art, 8-Le90-1426 (2);[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Appartient à l’ensemble documentaire : BbLevt0;bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Le90-1426 (2);0;;2007-10-15 00:00:00;ark__12148_bpt6k827617
22;1;25878b9497ce4a8f90aaf54d72355975;202;] - Elle souleva l'édredon bleu . Le chat,;paralysé;de fatigue, d'aventures et de dénuement, ne se dérangea pas. Il ne pouvait plus , ne savait plus .;f;Barbusse_L'étrangère ;L'étrangère ;Barbusse, Henri (1873-1935);(Paris);1921;80;840;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k113313n;"['1 vol. (61 p.) : couv. ill. ; 17 cm', 'Nombre total de vues : 66']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35217028p;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 16-Y2-41344;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];"''[''''Collection : Une heure d'oubli ; 90'''', ''''Collection : Une heure d'oubli ; 90'''']''";bnf.fr;Bibliothèque nationale de France, département Littérature et art, 16-Y2-41344;70910;text;2007-10-15 00:00:00;ark__12148_bpt6k113313n
12;1;ccb3c26f59db4e72bebc6ef44d6968ec;211;A la tombée du jour , il vint s'asseoir près du lit où . le révérend était étendu,;paralysé;de faiblesse, mais les yeux ouverts. – C'est le vert , dit le médecin .;f;Barbusse_Nous autres... ;Nous autres... ;Barbusse, Henri (1873-1935);(Paris);1914;80;840;monographie;2019-07-20 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k113318j;"['1 vol. (363 p.) ; in-18', 'Nombre total de vues : 371']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761582r;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];['Collection : Bibliothèque charpentier', 'Collection : Bibliothèque charpentier'];bnf.fr;Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779;82170;text;2010-06-15 00:00:00;ark__12148_bpt6k113318j
18;1;4aba8670e2464399b447dcd2ee718dc6;216;"Là , pendant des années , ce peuple silencieux résiste au gouvernement . Ils'' est retiré des villes; la vie industrielle du pays en est";paralysée;. C '' est une grève religieuse , contre laquelle toute violence se brise , comme celle de la Rome impériale contre les premiers Chrétiens .;f;Rolland_Mahatma Gandhi (Edition nouvelle revue,;Mahatma Gandhi (Edition nouvelle revue, corrigée et augmentée) ;Rolland, Romain (1866-1944);(Paris);1926;90;950;monographie;2019-08-23 00:00:00;http://purl.org/dc/elements/1.1/;http://www.openarchives.org/OAI/2.0/oai_dc/;http://www.w3.org/2001/XMLSchema-instance;http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd;https://gallica.bnf.fr/ark:/12148/bpt6k934525s;"['1 vol. (208 p.) ; in-16', 'Nombre total de vues : 226']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31238638r;[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}];Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-O2K-1743;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}];Avec mode texte;bnf.fr;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-O2K-1743;87230;text;2015-10-05 00:00:00;ark__12148_bpt6k934525s
