Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
_Encyclopédie ou Dictionnaire raisonné des;ark__12148_bpt6k505351;https://gallica.bnf.fr/ark:/12148/bpt6k505351;Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers. Tome troisième, Cha-Conjonctif ;V.A.;Briasson (Paris), David (puis), Le Breton, S. Faulche;1751-1765;"168 microfiches de 98 images ; 105 x 148 mm";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb35153871q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35153871q']'';Bibliothèque nationale de France;"Collection : Archives de la linguistique française ; 118, Collection : Archives de la linguistique française ; 118, Encyclopédies";bnf.fr;30;0;monographie;98630;15.10.2007 00:00;8cfc519d-289e-4ce8-8053-9ebdc427ecb0;"[{'@xml:lang': 'fre', '#text': ""conditions spécifiques d'utilisation - Microformes et reprints""}, {'@xml:lang': 'eng', '#text': 'restricted use'}]"
Barthélemy_Voyage du jeune Anacharsis en;ark__12148_bpt6k9204644;https://gallica.bnf.fr/ark:/12148/bpt6k9204644;Voyage du jeune Anacharsis en Grèce dans le milieu du quatrième siècle avant l'ère vulgaire. Tome 1 ;Barthélemy, Jean-Jacques (1716-1795);(Paris);1893;"2 vol. (464, 471 p. ; 19 cm, Nombre total de vues : 480";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30062025f'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb14868457b', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30062025f']'';Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-J-1993 (1);Voyage du jeune Anarcharsis en Grèce (français), Avec mode texte;bnf.fr;930;90;monographie;88840;28.09.2015 00:00;baf9c42d-39ae-4a73-a255-aad901b86e13;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Beaumarchais_Clavijo;ark__12148_bpt6k6544715m;https://gallica.bnf.fr/ark:/12148/bpt6k6544715m;Clavijo ;Beaumarchais, Pierre-Augustin Caron de (1732-1799);Librairie des bibliophiles (Paris);1880;"1 vol. (XXXI-74 p.) ; in-16, Nombre total de vues : 118";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300727336;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-34558;''''''Collection : Les Petits chefs-doeuvre'''', ''''Collection : Les Petits chefs-doeuvre'''', Avec mode texte'';bnf.fr;920;90;monographie;99960;31.07.2013 00:00;cf342bb5-d151-4543-b367-37136a721edc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Beaumarchais_Mémoires de Beaumarchais dans l'Affaire;ark__12148_bpt6k5452641z;https://gallica.bnf.fr/ark:/12148/bpt6k5452641z;''Mémoires de Beaumarchais dans l'Affaire Goezman (Nouvelle édition collationnée avec le plus grand soin sur les éditions originales et précédée d'une appréciation tirée des ''''Causeries du lundi'''')'';Beaumarchais, Pierre-Augustin Caron de (1732-1799), Sainte-Beuve, Charles-Augustin (1804-1869);(Paris);1878;"1 vol. (XVI-411 p.) ; in-18, Nombre total de vues : 438";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300727305;Bibliothèque nationale de France, département Droit, économie, politique, 8-F-624;''Comprend : Appréciation tirée des ''''Causeries du lundi'''', Avec mode texte'';bnf.fr;340;30;monographie;97110;04.11.2008 00:00;54b21928-a95e-49f4-9947-e8bfc4c895bb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bernardin de Saint-Pierre_Oeuvres de Jacques-Henri-Bernardin de Saint-Pierre;ark__12148_bpt6k58190460;https://gallica.bnf.fr/ark:/12148/bpt6k58190460;Oeuvres de Jacques-Henri-Bernardin de Saint-Pierre ;Bernardin de Saint-Pierre, Henri (1737-1814);(Paris);1836;"786 p. à 2 col. : portrait et pl. gr. ; in-4°, Nombre total de vues : 816";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31284042d;Bibliothèque nationale de France, département Littérature et art, Z-5175;Appartient à l’ensemble documentaire : HNormand1, Appartient à l’ensemble documentaire : BmLHav000, Contient une table des matières, Avec mode texte;bnf.fr;800;80;monographie;99980;19.04.2010 00:00;69aa6a13-f134-407c-928b-aaa1b2b0f9a3;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bertu_Dame Girafe à Paris .;ark__12148_bpt6k96128673;https://gallica.bnf.fr/ark:/12148/bpt6k96128673;Dame Girafe à Paris . Aventures et voyages de cette illustre étrangère, racontés par elle-même, en réponse au discours de S. E. l'ours Martin... à-propos historique par Charles-François Bertu, précédé d'une dissertation scientifique par Buffon,...;Bertu, Charles François. , Buffon, Georges-Louis Leclerc comte de (1707-1788);(Paris);1827;"70 p. ; in-16, Nombre total de vues : 88";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30098536j;Bibliothèque nationale de France, département Sciences et techniques, S-25693;Comprend : Dissertation scientifique, Avec mode texte;bnf.fr;590;50;monographie;9850;02.11.2015 00:00;41bfa538-9307-4e1e-a996-432f3b4c411c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Bossuet_Oraisons funèbres;ark__12148_bpt6k9612397h;https://gallica.bnf.fr/ark:/12148/bpt6k9612397h;Oraisons funèbres ;Bossuet, Jacques Bénigne (1627-1704), Bourdaloue, Louis (1632-1704), Fléchier, Esprit (1632-1710), Massillon, Jean-Baptiste (1663-1742), Lacordaire, Henri-Dominique (1802-1861);Librairie Aristide Quillet (Paris);1928;"1 vol. (XI-330 p.) : grav. ; in-8, Nombre total de vues : 360";français;['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb12559866n', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31848791q'];Bibliothèque nationale de France, département Littérature et art, 8-Z-25168 (9);"''Oraisons funèbres (français), Collection : Classiques Quillet, ''''Comprend : Le vrai repentir ; Julie dAgennes ; Lhypocrisie ; Nous naimons pas Dieu'''', Contient une table des matières, Avec mode texte''";bnf.fr;840;80;monographie;99710;19.10.2015 00:00;00b5d568-dc37-40ab-a09e-fc7b3d161dfe;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Brougham_Voltaire et Rousseau : ouvrage;ark__12148_bd6t5369282n;https://gallica.bnf.fr/ark:/12148/bd6t5369282n;Voltaire et Rousseau : ouvrage accompagné de Lettres entièrement inédites de Voltaire, d'Helvétius, de Hume, etc., et orné de deux portraits gravés sur acier ;Brougham, Henry (1778-1868), Helvétius, Claude-Adrien (1715-1771), Hume, David (1711-1776), Voltaire (1694-1778), Voltaire (1694-1778);Amyot (Paris);1845;"1 vol. (XI-353 p.) : portraits ; 21 cm, Nombre total de vues : 384";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30166026x;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-20839;"''''''Comprend : Lettre dHelvétius à M. labbé Le Blanc ; Lettres à M. labbé Le Blanc, historiographe des bâtiments du Roi ; Lettres de Voltaire à Louise de Saxe-Gotha ; Lettre à M. le Président Hénault'''', Avec mode texte''";bnf.fr;920;90;monographie;89060;12.12.2021 00:00;d62efdf8-4e2f-477b-8fdf-0c21d82cc2fb;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Brulat_Pour tous les yeux :;ark__12148_bpt6k931701c;https://gallica.bnf.fr/ark:/12148/bpt6k931701c;Pour tous les yeux : attrayante et saine littérature à lire et à relire;Brulat, Paul (1866-1940), Boyer-Rebiab, Louis (1874-19..), Voltaire (1694-1778), Musset, Alfred de (1810-1857);(Paris);1907;"16 p. ; in-16, Nombre total de vues : 20";français;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31881190v;Bibliothèque nationale de France, département Littérature et art, 8-Z-6399;"''Collection : Collection Paul Brulat et Boyer-Rebiab, Collection : Collection Paul Brulat et Boyer-Rebiab, ''''Comprend : Un prisonnier au château dIf ; Fernanda ; Athéisme ; Lucie'''', Avec mode texte''";bnf.fr;840;80;monographie;87720;09.05.2016 00:00;5ab415b7-cfe3-4c7a-90f6-814e402bdd71;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Buffon_Correspondance inédite de Buffon, à;ark__12148_bpt6k62985931;https://gallica.bnf.fr/ark:/12148/bpt6k62985931;Correspondance inédite de Buffon, à laquelle ont été réunies les lettres publiées jusqu'à ce jour. Tome 1 ;Buffon, Georges-Louis Leclerc comte de (1707-1788);(Paris);1860;"2 vol. (XXXVII-500, 644 p.) ; in-8, Nombre total de vues : 553";français;''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30174432p'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30174432p']'';Bibliothèque nationale de France, département Littérature et art, Z-44255;Contient une table des matières, Avec mode texte;bnf.fr;500;50;monographie;99960;29.04.2013 00:00;0195d59e-82f4-49af-8d34-0c99c15d2a2f;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
