Dateiname	ark	dc:identifier	dc:title	dc:creator	dc:publisher	dc:date	dc:format	dc:language	dc:relation	dc:source	dc:description	provenance	sdewey	dewey	typedoc	nqamoyen	first_indexation_date	Pfad	GUID
Grimod de La Reynière_L'Alambic littéraire, ou Analyses raisonnées	ark__12148_bpt6k9800433h	https://gallica.bnf.fr/ark:/12148/bpt6k9800433h	L'Alambic littéraire, ou Analyses raisonnées d'un grand nombre d'ouvrages publiés récemment. Tome 2 	Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837)	''''''lauteur (Paris)'''', Maradan (Paris), Desenne etc. (Paris)''	1803	2 vol. (VIII-400 ; 408 p.) ; in-8, Nombre total de vues : 424	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30543068d'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30543068d']''	Bibliothèque nationale de France, département Littérature et art, Z-29738	Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	985.0	2017-09-30T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9800433h.html	44affbf6-8763-4abf-874b-487ed6f772bf
Cazotte_Oeuvres badines et morales, historiques	ark__12148_bpt6k97434265	https://gallica.bnf.fr/ark:/12148/bpt6k97434265	Oeuvres badines et morales, historiques et philosophiques de Jacques Cazotte. Tome 1 	Cazotte, Jacques (1719-1792)	J.-F. Bastien (Paris)	1817	4 vol., pl. ; in-8, Nombre total de vues : 584	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb302107105'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302107105']''	Bibliothèque nationale de France, département Littérature et art, Z-29378	Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	985.0	2016-09-18T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k97434265.html	0e6b10e0-825f-47df-98ad-505879f7574b
Cottin_Sophie de Monnier et Mirabeau,	ark__12148_bpt6k9745528z	https://gallica.bnf.fr/ark:/12148/bpt6k9745528z	Sophie de Monnier et Mirabeau, d'après leur correspondance secrète inédite (1775-1789) : avec 3 portraits, dont un en héliogravure d'après Heinsius, 2 fac-similés d'autographes, une table déchiffrante et un plan du couvent des Saintes-Claires de Gien 	Cottin, Paul (1856-1932), Monnier, Sophie (1754-1789 ; marquise de)	Plon-Nourrit et Cie (Paris)	1903	1 vol. (CCLX-282 p.) : portraits, fig. et fac-similés ; in-8, Nombre total de vues : 573	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30277394v	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LN27-49717	Contient une table des matières, Avec mode texte	bnf.fr	92.0	9.0	monographie	9933.0	2016-10-02T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9745528z.html	ea009a59-54a6-4971-8616-a11bfc24c757
Saint-Simon_Mémoires complets et authentiques du	ark__12148_bpt6k5830127r	https://gallica.bnf.fr/ark:/12148/bpt6k5830127r	Mémoires complets et authentiques du duc de Saint-Simon sur le siècle de Louis XIV et la Régence. Illustrés par Janet-Lange, Foulquier et Pauquet. Série 31,Partie 3	Saint-Simon, Louis de Rouvroy duc de (1675-1755)	(Paris)		5 séries en 5 vol. in-fol., fig., couv. ill.	français	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31285310v'''', 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11946624s', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31285310v']''	Bibliothèque nationale de France, département Littérature et art, Z-9696	Mémoires (français)	bnf.fr			monographie	9581.0	2010-04-11T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5830127r.html	3590983d-5a73-48ca-a315-fcee1ff39bf9
Chénier_Tableau historique de l'état et	ark__12148_bpt6k6470299x	https://gallica.bnf.fr/ark:/12148/bpt6k6470299x	Tableau historique de l'état et des progrès de la littérature française depuis 1789 ; par M.-J. de Chénier. 3e édition	Chénier, Marie-Joseph de (1764-1811), Miger, Pierre-Auguste-Marie (1771-1837)	Maradan (Paris)	1818	422-16 p. ; in-8, Nombre total de vues : 466	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb302329516	Bibliothèque nationale de France, département Littérature et art, Z-28418	''''''Comprend : Table alphabétique des auteurs anciens et modernes mentionnés dans le Tableau historique de létat et des progrès de la littérature française depuis 1789'''', Contient une table des matières, Avec mode texte''	bnf.fr	80.0	8.0	monographie	9956.0	2013-04-03T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k6470299x.html	f643ea61-84d2-42e2-914f-63ce6597ce50
Galland_Du retour des Bourbons en	ark__12148_bpt6k5796103m	https://gallica.bnf.fr/ark:/12148/bpt6k5796103m	Du retour des Bourbons en France et du gouvernement paternel de Louis XVIII , par A. Galland, membre de la commission des sciences et arts d'Égypte	Galland, Antoine (1763-1851)	chez lauteur (Paris)	1815	In-8° , 30 p., Nombre total de vues : 38	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30476365c	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB45-456	Avec mode texte	bnf.fr	84.0	8.0	monographie	9998.0	2010-10-17T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5796103m.html	d8e6d0ea-d296-4f93-95a2-0883407e504c
Molière (1622-1673)_Oeuvres complètes de Molière :	ark__12148_bpt6k5720917m	https://gallica.bnf.fr/ark:/12148/bpt6k5720917m	Oeuvres complètes de Molière : accompagnées de notes tirées de tous les commentateurs avec de remarques nouvelles (Nouvelle édition) 	Molière (1622-1673), Voltaire (1694-1778), La Harpe, Jean François de (1739-1803), Auger, Louis-Simon (1772-1829)	Garnier frères (Paris)	1884	3 vol. (XXXVI-496, 557, 502 p.) ; 19 cm, Nombre total de vues : 510	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb40142201v	Bibliothèque nationale de France, département Littérature et art, 8-YF-144 (3)	Comprend : Vie de Molière ; Molière et la comédie ; Extraits du Discours sur la comédie, Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	9998.0	2009-10-04T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k5720917m.html	09a0d0db-b4f9-4d3f-943a-b9fca6456dc0
Delille_Oeuvres de J. Delille (2e	ark__12148_bpt6k9749820x	https://gallica.bnf.fr/ark:/12148/bpt6k9749820x	Oeuvres de J. Delille (2e édition) 	Delille, Jacques (1738-1813), Virgile (0070-0019 av. J.-C.), Virgile (0070-0019 av. J.-C.), Milton, John (1608-1674)	Lefèvre (Paris)	1833	1 vol. (VIII-914 p.) : portr. ; Gr. in-8, Nombre total de vues : 950	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb452597986	Bibliothèque nationale de France, département Littérature et art, YE-2500	Comprend : Les Géorgiques ; Énéide ; Paradis perdus, Contient une table des matières, Avec mode texte	bnf.fr	84.0	8.0	monographie	9866.0	2016-10-09T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k9749820x.html	ab86d32f-0e7d-44e6-8d14-0bb26578db55
Brulat_Pour tous les yeux :	ark__12148_bpt6k931701c	https://gallica.bnf.fr/ark:/12148/bpt6k931701c	Pour tous les yeux : attrayante et saine littérature à lire et à relire	Brulat, Paul (1866-1940), Boyer-Rebiab, Louis (1874-19..), Voltaire (1694-1778), Musset, Alfred de (1810-1857)	(Paris)	1907	16 p. ; in-16, Nombre total de vues : 20	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31881190v	Bibliothèque nationale de France, département Littérature et art, 8-Z-6399	''Collection : Collection Paul Brulat et Boyer-Rebiab, Collection : Collection Paul Brulat et Boyer-Rebiab, ''''Comprend : Un prisonnier au château dIf ; Fernanda ; Athéisme ; Lucie'''', Avec mode texte''	bnf.fr	84.0	8.0	monographie	8772.0	2016-05-08T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k931701c.html	5ab415b7-cfe3-4c7a-90f6-814e402bdd71
Voltaire (1694-1778)_Mon séjour auprès de Voltaire	ark__12148_bpt6k58417512	https://gallica.bnf.fr/ark:/12148/bpt6k58417512	Mon séjour auprès de Voltaire et lettres inédites que m'écrivit cet homme célèbre jusqu'à la dernière année de sa vie . Par Come Alexandre Collini,... Ouvrage posthume contenant des anecdotes et des particularités peu connues sur la vie privée et sur les oeuvres du plus célèbre écrivain du 18e. siècle, augmenté de plusieurs lettres inédites de Voltaire à l'Électeur palatin, au comédien Lanoue, à Mlle. Dumesnil, et de quelques lettres de Mme Denis, sa nièce.	Voltaire (1694-1778), Denis, Louise (1712-1790), Collini, Cosimo Alessandro (1727-1806)	L. Collin (Paris)	1807	In-8° , XVI-373 p. (Bengesco, n 1968.), Nombre total de vues : 404	français	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30258743w	Bibliothèque nationale de France, département Littérature et art, Z-15300	Comprend : Quelques lettres..., Contient une table des matières, Avec mode texte	bnf.fr	80.0	8.0	monographie	8252.0	2010-06-27T22:00:00Z	C:\Users\ojuni\Documents\Korpus\Dateien 18. Jahrhundert\18\18_contenue\ark__12148_bpt6k58417512.html	6cd992d8-384b-4b1a-afe8-6f80729fa9d4
