Dateiname;Ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;sdewey;dewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
About_Le roman d'un brave homme;ark__12148_bpt6k5796701v;https://gallica.bnf.fr/ark:/12148/bpt6k5796701v;Le roman d'un brave homme ;About, Edmond (1828-1885);Paris;1882;"V-323 p. : fig., pl. ; Gr. in-8°, Nombre total de vues : 338";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013938;Bibliothèque nationale de France, département Littérature et art, 4-Y2-746;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;93940;05.09.2010 22:00;b4859948-3102-43f5-85db-0cfc509219bc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_L'infâme (3e édition);ark__12148_bpt6k6551199k;https://gallica.bnf.fr/ark:/12148/bpt6k6551199k;L'infâme (3e édition) ;About, Edmond (1828-1885);Hachette (Paris);1880;"1 vol. (291 p.) ; in-16, Nombre total de vues : 308";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300012841;Bibliothèque nationale de France, département Littérature et art, 8-Y2-4133;Avec mode texte;bnf.fr;840;80;monographie;99930;03.11.2013 23:00;35016c58-6e11-466c-91cc-bea634179ea1;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Les mariages de Paris;ark__12148_bpt6k6362284k;https://gallica.bnf.fr/ark:/12148/bpt6k6362284k;Les mariages de Paris ;About, Edmond (1828-1885);Hachette et Cie (Paris);1856;"1 vol (II-411 p.) ; in-16, Nombre total de vues : 424";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001312f;Bibliothèque nationale de France, département Littérature et art, Y2-12683;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99960;28.10.2012 23:00;18f713ff-65c2-48bf-8414-400e2d3ea398;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Le fellah : souvenirs d'Égypte;ark__12148_bpt6k62077112;https://gallica.bnf.fr/ark:/12148/bpt6k62077112;Le fellah : souvenirs d'Égypte ;About, Edmond (1828-1885);L. Hachette et Cie (Paris);1869;"1 vol. (411 p.) ; in-8, Nombre total de vues : 440";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001240d;Bibliothèque nationale de France;Avec mode texte;bnf.fr;960;90;monographie;99930;22.02.2012 23:00;3ef77bd4-b6a1-4333-8c2c-2e541df50f8a;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Maître Pierre (12e éd.);ark__12148_bpt6k658714;https://gallica.bnf.fr/ark:/12148/bpt6k658714;Maître Pierre (12e éd.) ;About, Edmond (1828-1885);Paris;1900;"307 p. ; in-16, Nombre total de vues : 321";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31696558j;Bibliothèque nationale de France, département Littérature et art, 8-Y2-20060;Appartient à l’ensemble documentaire : UnivJeun0, Contient une table des matières;bnf.fr;840;80;monographie;90160;14.10.2007 22:00;a11f7dfc-5386-4298-ae5d-1efc7d753f52;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_ABC du travailleur (5e édition);ark__12148_bpt6k55028277;https://gallica.bnf.fr/ark:/12148/bpt6k55028277;ABC du travailleur (5e édition) ;About, Edmond (1828-1885);Hachette (Paris);1888;"1 vol. (315 p.) ; in-16, Nombre total de vues : 328";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001220s;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-9008;Contient une table des matières, Avec mode texte;bnf.fr;300;30;monographie;97460;16.03.2009 23:00;1474a7e9-9837-4fd7-b0fd-57379fa059ae;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Le progrès;ark__12148_bpt6k2031910;https://gallica.bnf.fr/ark:/12148/bpt6k2031910;Le progrès ;About, Edmond (1828-1885);Paris;1864;489 p., Nombre total de vues : 494;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb300013531;Bibliothèque nationale de France;;bnf.fr;9440;90;monographie;97950;14.10.2007 22:00;cf542b93-3b75-44ce-a070-8ccb077a4786;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_L'homme à l'oreille cassée (3e;ark__12148_bpt6k65118490;https://gallica.bnf.fr/ark:/12148/bpt6k65118490;L'homme à l'oreille cassée (3e éd.) ;About, Edmond (1828-1885);L. Hachette (Paris);1862;"1 vol. (277-12 p.) ; in-16, Nombre total de vues : 310, application/epub+zip";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001274q;Bibliothèque nationale de France, département Littérature et art, Y2-12664;Contient une table des matières, Avec mode texte;bnf.fr;840;80;monographie;99990;30.07.2013 22:00;11428f13-2e47-43e8-bbbb-bd3c08826f35;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
About_Le roi des montagnes;ark__12148_bpt6k6122842q;https://gallica.bnf.fr/ark:/12148/bpt6k6122842q;Le roi des montagnes ;About, Edmond (1828-1885);Hachette (Paris);1857;In-16, Nombre total de vues : 314, application/epub+zip;['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001370m;Bibliothèque nationale de France, département Littérature et art, Y2-12704;Appartient à l’ensemble documentaire : UnivJeun0, Avec mode texte;bnf.fr;800;80;monographie;99980;18.10.2010 22:00;accf590a-4c45-4c6b-9808-e3e8afb72ebc;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Abrantès_La duchesse de Vallombray. Tome;ark__12148_bpt6k42263081;https://gallica.bnf.fr/ark:/12148/bpt6k42263081;La duchesse de Vallombray. Tome 1 ;"Abrantès, Laure Junot (1784-1838 ; duchesse de )";Paris;1838;"2 vol. (4-430, 4-338 p.) ; in-8, Nombre total de vues : 440";['fre', 'français'];Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30001716x, Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30001716x;Bibliothèque nationale de France, département Littérature et art, Y2-12752;Avec mode texte;bnf.fr;840;80;monographie;88480;27.01.2020 23:00;35c5d37c-3224-4a32-931c-ba82fd59f11b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
