Dateiname;ark;dc:identifier;dc:title;dc:creator;dc:publisher;dc:date;dc:format;dc:language;dc:relation;dc:source;dc:description;provenance;dewey;sdewey;typedoc;nqamoyen;first_indexation_date;GUID;dc:rights
Apollinaire_Le poète assassiné et ressuscité;ark__12148_bpt6k10495387;https://gallica.bnf.fr/ark:/12148/bpt6k10495387;Le poète assassiné et ressuscité ;Apollinaire, Guillaume (1880-1918);L'Édition (Paris);1916;"['1 vol. (358 p.) ; in-16', 'Nombre total de vues : 621', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31725737m;Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-2243;['Collection : Bibliothèque des curieux', 'Avec mode texte'];bnf.fr;;;monographie;10000;11.11.2013 00:00;10d915a8-4fcf-42e8-961e-7b136ed4dcb9;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Le couteau entre les dents;ark__12148_bpt6k113316s;https://gallica.bnf.fr/ark:/12148/bpt6k113316s;Le couteau entre les dents : aux intellectuels ;Barbusse, Henri (1873-1935);(Paris);1921;['1 vol. (80 p.) : 17 cm', 'Nombre total de vues : 84'];['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34983053f;Bibliothèque nationale de France, département Littérature et art, 16-Z-28256;;bnf.fr;30;300;monographie;94370;12.03.2008 00:00;6f2e28ad-2d6a-4d91-9dcf-2f3cc899c838;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Elévation ;ark__12148_bpt6k113311w;https://gallica.bnf.fr/ark:/12148/bpt6k113311w;Elévation : roman ;Barbusse, Henri (1873-1935);(Paris);1930;"['1 vol. (248 p.) ; 19 cm', 'Nombre total de vues : 252']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317615504;Bibliothèque nationale de France, département Littérature et art, 8-Y2-76340;Avec mode texte;bnf.fr;80;840;monographie;75650;12.03.2008 00:00;512b0501-334d-40f1-a004-722efa7d9bc4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Voici ce qu'on a fait;ark__12148_bpt6k113324c;https://gallica.bnf.fr/ark:/12148/bpt6k113324c;Voici ce qu'on a fait de la Géorgie ;Barbusse, Henri (1873-1935);(Paris);1929;"['1 vol. (318 p.) ; 19 cm', 'Nombre total de vues : 321']";fre;Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317616016;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-22990;['Appartient à l’ensemble documentaire : BnPlCo00', 'Appartient à l’ensemble documentaire : BnPlCo05', 'Avec mode texte'];bnf.fr;90;940;monographie;93560;12.03.2008 00:00;dd8c6b45-0ae5-46b6-bcf1-28eb66cdeae4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Trois films ;ark__12148_bpt6k113322m;https://gallica.bnf.fr/ark:/12148/bpt6k113322m;Trois films : Force, L'au-delà, Le crieur ;Barbusse, Henri (1873-1935);(Paris);1926;"['1 vol. (246 p.) ; in-12', 'Nombre total de vues : 248']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761600v;Bibliothèque nationale de France, département Littérature et art, 8-Y2-71369;Avec mode texte;bnf.fr;80;840;monographie;94750;12.03.2008 00:00;8fd33414-47d2-4e03-89e1-550ce7131d5b;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_La lueur dans l'abîme ;ark__12148_bpt6k113315d;https://gallica.bnf.fr/ark:/12148/bpt6k113315d;La lueur dans l'abîme : ce que veut le groupe Clarté ;Barbusse, Henri (1873-1935);(Paris);1920;"['1 vol. (153 p.) ; 19 cm', 'Nombre total de vues : 155']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761578h;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051;Avec mode texte;bnf.fr;30;300;monographie;16780;12.03.2008 00:00;922bdb4f-8abc-4afc-b29f-84cfd3e0a86c;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Staline ;ark__12148_bpt6k1133217;https://gallica.bnf.fr/ark:/12148/bpt6k1133217;Staline : un monde nouveau vu à travers un homme ;Barbusse, Henri (1873-1935);(Paris);1935;"['1 vol. (320 p.) ; 19 cm', 'Nombre total de vues : 327']";['fre', 'français'];''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31761591q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761591q']'';Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-24724;;bnf.fr;90;940;monographie;9740;12.03.2008 00:00;c0210af2-fe37-4d9a-83f3-27e1b97892a4;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Nous autres... ;ark__12148_bpt6k113318j;https://gallica.bnf.fr/ark:/12148/bpt6k113318j;Nous autres... ;Barbusse, Henri (1873-1935);(Paris);1914;"['1 vol. (363 p.) ; in-18', 'Nombre total de vues : 371']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761582r;Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779;['Collection : Bibliothèque charpentier', 'Collection : Bibliothèque charpentier'];bnf.fr;80;840;monographie;82170;15.06.2010 00:00;ccb3c26f-59db-4e72-bebc-6ef44d6968ec;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barbusse_Lettres de Henri Barbusse;ark__12148_bpt6k1133175;https://gallica.bnf.fr/ark:/12148/bpt6k1133175;Lettres de Henri Barbusse à sa femme, 1914-1917;Barbusse, Henri (1873-1935);(Paris);1937;"['1 vol. (261 p.) ; 18 cm', 'Nombre total de vues : 266']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34203020m;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Ln27-80938;;bnf.fr;80;840;monographie;97590;15.10.2007 00:00;d2c5c6db-2529-4928-846f-23cb81410376;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
Barrès_Scènes et doctrines du nationalisme;ark__12148_bpt6k56013884;https://gallica.bnf.fr/ark:/12148/bpt6k56013884;Scènes et doctrines du nationalisme ;Barrès, Maurice (1862-1923);F. Juven (Paris);1902;"['1 vol. (518 p.) ; in-16', 'Nombre total de vues : 532', 'application/epub+zip']";['fre', 'français'];Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34040107f;Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB57-13281;['Contient une table des matières', 'Avec mode texte'];bnf.fr;30;320;monographie;93730;17.08.2009 00:00;abaf61d2-2199-479e-b786-10a0a56a89be;[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]
