Pfad	Dateiname	dc:title	dc:creator	dc:publisher	dc:date	dewey	sdewey	typedoc	datestamp	@xmlns:dc	@xmlns:oai_dc	@xmlns:xsi	@xsi:schemaLocation	dc:identifier	dc:format	dc:language	dc:relation	dc:type	dc:source	dc:rights	dc:description	provenance	source	nqamoyen	mode_indexation	first_indexation_date	ark	GUID
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k10495387.html	Apollinaire_Le poète assassiné et ressuscité	Le poète assassiné et ressuscité 	Apollinaire, Guillaume (1880-1918)	L'Édition (Paris)	1916			monographie	2018-04-26	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k10495387	['1 vol. (358 p.) ; in-16', 'Nombre total de vues : 621', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31725737m	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-2243	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	['Collection : Bibliothèque des curieux', 'Avec mode texte']	bnf.fr	Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-2243	1000.0	text	2013-11-10T23:00:00Z	ark__12148_bpt6k10495387	10d915a8-4fcf-42e8-961e-7b136ed4dcb9
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k113316s.html	Barbusse_Le couteau entre les dents	Le couteau entre les dents : aux intellectuels 	Barbusse, Henri (1873-1935)	(Paris)	1921	3.0	30.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k113316s	['1 vol. (80 p.) : 17 cm', 'Nombre total de vues : 84']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34983053f	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Littérature et art, 16-Z-28256	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]		bnf.fr	Bibliothèque nationale de France, département Littérature et art, 16-Z-28256	9437.0	text	2008-03-11T23:00:00Z	ark__12148_bpt6k113316s	6f2e28ad-2d6a-4d91-9dcf-2f3cc899c838
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k113311w.html	Barbusse_Elévation 	Elévation : roman 	Barbusse, Henri (1873-1935)	(Paris)	1930	8.0	84.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k113311w	['1 vol. (248 p.) ; 19 cm', 'Nombre total de vues : 252']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317615504	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Littérature et art, 8-Y2-76340	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	Avec mode texte	bnf.fr	Bibliothèque nationale de France, département Littérature et art, 8-Y2-76340	7565.0	text	2008-03-11T23:00:00Z	ark__12148_bpt6k113311w	512b0501-334d-40f1-a004-722efa7d9bc4
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k113324c.html	Barbusse_Voici ce qu'on a fait	Voici ce qu'on a fait de la Géorgie 	Barbusse, Henri (1873-1935)	(Paris)	1929	9.0	94.0	monographie	2021-03-30	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k113324c	['1 vol. (318 p.) ; 19 cm', 'Nombre total de vues : 321']	fre	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb317616016	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}]	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-22990	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	['Appartient à l’ensemble documentaire : BnPlCo00', 'Appartient à l’ensemble documentaire : BnPlCo05', 'Avec mode texte']	bnf.fr	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-22990	9356.0	text	2008-03-11T23:00:00Z	ark__12148_bpt6k113324c	dd8c6b45-0ae5-46b6-bcf1-28eb66cdeae4
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k113322m.html	Barbusse_Trois films 	Trois films : Force, L'au-delà, Le crieur 	Barbusse, Henri (1873-1935)	(Paris)	1926	8.0	84.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k113322m	['1 vol. (246 p.) ; in-12', 'Nombre total de vues : 248']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761600v	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Littérature et art, 8-Y2-71369	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	Avec mode texte	bnf.fr	Bibliothèque nationale de France, département Littérature et art, 8-Y2-71369	9475.0	text	2008-03-11T23:00:00Z	ark__12148_bpt6k113322m	8fd33414-47d2-4e03-89e1-550ce7131d5b
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k113315d.html	Barbusse_La lueur dans l'abîme 	La lueur dans l'abîme : ce que veut le groupe Clarté 	Barbusse, Henri (1873-1935)	(Paris)	1920	3.0	30.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k113315d	['1 vol. (153 p.) ; 19 cm', 'Nombre total de vues : 155']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761578h	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	Avec mode texte	bnf.fr	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-R-46051	1678.0		2008-03-11T23:00:00Z	ark__12148_bpt6k113315d	922bdb4f-8abc-4afc-b29f-84cfd3e0a86c
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k1133217.html	Barbusse_Staline 	Staline : un monde nouveau vu à travers un homme 	Barbusse, Henri (1873-1935)	(Paris)	1935	9.0	94.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k1133217	['1 vol. (320 p.) ; 19 cm', 'Nombre total de vues : 327']	['fre', 'français']	''[''''Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31761591q'''', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761591q']''	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-24724	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]		bnf.fr	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-M-24724	974.0	text	2008-03-11T23:00:00Z	ark__12148_bpt6k1133217	c0210af2-fe37-4d9a-83f3-27e1b97892a4
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k113318j.html	Barbusse_Nous autres... 	Nous autres... 	Barbusse, Henri (1873-1935)	(Paris)	1914	8.0	84.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k113318j	['1 vol. (363 p.) ; in-18', 'Nombre total de vues : 371']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31761582r	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	['Collection : Bibliothèque charpentier', 'Collection : Bibliothèque charpentier']	bnf.fr	Bibliothèque nationale de France, département Littérature et art, 8-Y2-61779	8217.0	text	2010-06-14T22:00:00Z	ark__12148_bpt6k113318j	ccb3c26f-59db-4e72-bebc-6ef44d6968ec
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k1133175.html	Barbusse_Lettres de Henri Barbusse	Lettres de Henri Barbusse à sa femme, 1914-1917	Barbusse, Henri (1873-1935)	(Paris)	1937	8.0	84.0	monographie	2019-07-20	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k1133175	['1 vol. (261 p.) ; 18 cm', 'Nombre total de vues : 266']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34203020m	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Ln27-80938	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]		bnf.fr	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-Ln27-80938	9759.0	text	2007-10-14T22:00:00Z	ark__12148_bpt6k1133175	d2c5c6db-2529-4928-846f-23cb81410376
C:\Users\ojuni\Documents\Korpus\Dateien 20. Jahrhundert\Gesamt 20\ark__12148_bpt6k56013884.html	Barrès_Scènes et doctrines du nationalisme	Scènes et doctrines du nationalisme 	Barrès, Maurice (1862-1923)	F. Juven (Paris)	1902	3.0	32.0	monographie	2018-04-26	http://purl.org/dc/elements/1.1/	http://www.openarchives.org/OAI/2.0/oai_dc/	http://www.w3.org/2001/XMLSchema-instance	http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	https://gallica.bnf.fr/ark:/12148/bpt6k56013884	['1 vol. (518 p.) ; in-16', 'Nombre total de vues : 532', 'application/epub+zip']	['fre', 'français']	Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34040107f	[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB57-13281	[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]	['Contient une table des matières', 'Avec mode texte']	bnf.fr	Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB57-13281	9373.0	text	2009-08-16T22:00:00Z	ark__12148_bpt6k56013884	abaf61d2-2199-479e-b786-10a0a56a89be
