identifier,datestamp,setSpec,@xmlns:dc,@xmlns:oai_dc,@xmlns:xsi,@xsi:schemaLocation,dc:identifier,dc:title,dc:creator,dc:publisher,dc:date,dc:format,dc:language,dc:relation,dc:type,dc:source,dc:rights,dc:description,provenance,sdewey,dewey,source,typedoc,nqamoyen,mode_indexation,title,date,first_indexation_date,streamable
oai:bnf.fr:gallica/ark:/12148/bpt6k10567247,2018-04-26,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k10567247,Le Piccinino. Tome 5 / George Sand,"Sand, George (1804-1876). Auteur du texte",Desessart (Paris),1847,"['5 vol. ; in-8', 'Nombre total de vues :  337', 'application/epub+zip 3.0 accessible', 'Format adaptable de type XML DTBook, 2005-3']","['fre', 'français']","[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb31293632q"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31293632q']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-420",domaine public,Avec mode texte,bnf.fr,,,"Bibliothèque nationale de France, département Réserve des livres rares, RES P-Y2-420",monographie,99.97,text,Le Piccinino. Tome 5 / George Sand,1847,29/06/2014,false
oai:bnf.fr:gallica/ark:/12148/bpt6k58467395,2020-06-12,"['gallica:corpus:PACA1', 'gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k58467395,La résurrection de Rocambole / par Ponson Du Terrail,"Ponson du Terrail, Pierre Alexis (1829-1871). Auteur du texte",(Paris),1866,"['5 vol. (420, 415, 332, 325, 284 p.) : couv. ill. ; 19 cm', 'Nombre total de vues :  426']","['fre', 'français']","['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119851914', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31134539p']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, Y2-59973",domaine public,"['[La Résurrection de Rocambole (français)]', 'Appartient à l’ensemble documentaire : PACA1', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, Y2-59973",monographie,93.74,text,La résurrection de Rocambole / par Ponson Du Terrail,1866,28/06/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k206960w,2019-07-19,"['gallica:theme:2:20', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k206960w,Bible de l'humanité / J. Michelet,"Michelet, Jules (1798-1874). Auteur du texte",(Paris),1864,"['IX-494 p. ; in-18', 'Nombre total de vues :  515']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30943170x,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]",Bibliothèque nationale de France,domaine public,Appartient à l’ensemble documentaire : GTextes1,bnf.fr,20,2,Bibliothèque nationale de France,monographie,94.22,text,Bible de l'humanité / J. Michelet,1864,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k42214705,2020-03-11,"['gallica:theme:8:80', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k42214705,"Un second oratoire, chroniques retrouvées / Jean Lorrain ; recueillies et commentées par Pierre-Léon Gauthier,...","Lorrain, Jean (1855-1906). Auteur du texte",(Dijon),1935,"['1 vol. (157 p.) ; gr. in-8', 'Nombre total de vues :  174']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32151074n,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 4-Z-3336",domaine public,Avec mode texte,bnf.fr,80,8,"Bibliothèque nationale de France, département Littérature et art, 4-Z-3336",monographie,88.51,text,"Un second oratoire, chroniques retrouvées / Jean Lorrain ; recueillies et commentées par Pierre-Léon Gauthier,...",1935,04/11/2019,false
oai:bnf.fr:gallica/ark:/12148/bpt6k113523m,2019-07-20,"['gallica:theme:9:944', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k113523m,L'Affaire Dreyfus : la vérité en marche / par Émile Zola,"Zola, Émile (1840-1902). Auteur du texte",(Paris),1901,"['1 vol. (IV-314 p.) ; in-18', 'Nombre total de vues :  323']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31690897t,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Lb57-12949",domaine public,"['Collection : Bibliothèque Charpentier', 'Collection : Bibliothèque Charpentier']",bnf.fr,944,9,"Bibliothèque nationale de France, département Littérature et art, 8-Lb57-12949",monographie,95.97,text,L'Affaire Dreyfus : la vérité en marche / par Émile Zola,1901,06/12/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k3040267j,2019-04-19,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k3040267j,Le lieutenant Bonnet / par Hector Malot,"Malot, Hector (1830-1907). Auteur du texte",(Paris),1885,"['1 vol. (385 p.) ; in-12', 'Nombre total de vues :  414']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30868630h,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-9157",domaine public,Avec mode texte,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-9157",monographie,80.76,text,Le lieutenant Bonnet / par Hector Malot,1885,13/01/2019,false
oai:bnf.fr:gallica/ark:/12148/bpt6k9628621j,2021-04-16,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k9628621j,"Les filles du feu : Sylvie, Jemmy, Octavie, Isis, Émilie / Gérard de Nerval ; avec une préface de Jules Levallois ; dessins d'Émile Adan gravés à l'eau-forte par Le Rat","Nerval, Gérard de (1808-1855). Auteur du texte",(Paris),1888,"['1 vol. (XXXVII-250 p.-[6] f. de pl.) : ill. ; 21 cm', 'Nombre total de vues :  344']",fre,"['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11992732r', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31009478q']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-41902",domaine public,"['[Les filles du feu (français)]', 'Contient une table des matières', 'Avec mode texte']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-41902",monographie,99.64,text,"Les filles du feu : Sylvie, Jemmy, Octavie, Isis, Émilie / Gérard de Nerval ; avec une préface de Jules Levallois ; dessins d'Émile Adan gravés à l'eau-forte par Le Rat",1888,15/02/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k66334s,2019-07-19,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k66334s,Fort comme la mort / Guy de Maupassant,"Maupassant, Guy de (1850-1893). Auteur du texte",(Paris),1889,"['1 vol. (353 p.) ; in-18', 'Nombre total de vues :  362']","['fre', 'français']","[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb30910540r"", 'Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb122382675', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30910540r']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-23390",domaine public,"['[Fort comme la mort (français)]', 'Appartient à l’ensemble documentaire : GTextes1']",bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-23390",monographie,0.0,,Fort comme la mort / Guy de Maupassant,1889,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k6129696r,2018-04-26,"['gallica:theme:3:32', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k6129696r,"Notes sur quelques articles de journaux, par M. Benjamin de Constant","Constant, Benjamin (1767-1830). Auteur du texte",Plancher (Paris),1817,"['In-8° , 34 p.', 'Nombre total de vues :  38']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb30265418b,"[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'monographie imprimée')])]","Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB48-894",domaine public,Avec mode texte,bnf.fr,32,3,"Bibliothèque nationale de France, département Philosophie, histoire, sciences de l'homme, 8-LB48-894",monographie,99.98,text,"Notes sur quelques articles de journaux, par M. Benjamin de Constant",1817,19/10/2010,false
oai:bnf.fr:gallica/ark:/12148/bpt6k2029183,2021-01-08,"['gallica:theme:8:80', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k2029183,Histoires extraordinaires (Nouv. éd.) / par Edgar Poe ; trad. de Charles Baudelaire,"Poe, Edgar Allan (1809-1849). Auteur du texte","['M. Lévy frères (Paris)', 'Librairie nouvelle (Paris)']",1875,"['XXXI-330 p.', 'Nombre total de vues :  360']","['fre', 'français']","['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb11943795v', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb38889223w']","[OrderedDict([('@xml:lang', 'eng'), ('#text', 'text')]), OrderedDict([('@xml:lang', 'fre'), ('#text', 'monographie imprimée')]), OrderedDict([('@xml:lang', 'eng'), ('#text', 'printed monograph')])]",Bibliothèque nationale de France,domaine public,"['[Tales of the grotesque and arabesque]', 'Titre original : Tales of the grotesque and arabesque', ""Collection : Collection Michel Lévy. Oeuvres d'Edgar Poe"", 'Collection : Collection Michel Lévy']",bnf.fr,80,8,Bibliothèque nationale de France,monographie,0.0,,Histoires extraordinaires (Nouv. éd.) / par Edgar Poe ; trad. de Charles Baudelaire,1875,15/10/2007,false
