century,author,link
18,"Encyclopédie, ou Dictionnaire raisonné des sciences , des arts et des métiers par une société de gens de lettres (1751-1780) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28%28dc.creator%20all%20%22diderot%22%20or%20dc.contributor%20all%20%22diderot%22%20%29%20and%20dc.title%20all%20%22Dictionnaire%20raisonn%C3%A9%20des%20sciences%2C%20des%20arts%20et%20des%20m%C3%A9tiers%22%20%29%20
18,"Alembert d', Jean Le Rond d'Alembert dit (1717-1783) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Alembert,%20D%27%22%20or%20dc.contributor%20all%20%22Alembert,%20D%27%22%20)%20&suggest=12&keywords=Alembert,%20D%27"
18,"Andrieux, François (1759-1833) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Andrieux,%20Fran%C3%A7ois%20(1759-1833)%22%20or%20dc.contributor%20all%20%22Andrieux,%20Fran%C3%A7ois%20(1759-1833)%22%20)%20&suggest=10&keywords=Andrieux,%20Fran%C3%A7ois%20(1759-1833)"
18,"Argens, Jean-Baptiste de Boyer, marquis d' (1704-1771) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Argens%2C%20Jean-Baptiste%20de%20Boyer%20marquis%20d%27%22%20or%20dc.contributor%20all%20%22Argens%2C%20Jean-Baptiste%20de%20Boyer%20marquis%20d%27%22%20%29%20&filter=dc.creator%20all%20%22argens%2C%20jean-baptiste%20de%20boyer%20%281704-1771%20%3B%20marquis%20d%27%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22
18,"Bachaumont, François Le Coigneux de (1624-1702) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Bachaumont,%20Fran%C3%A7ois%20Le%20Coigneux%20de%22%20or%20dc.contributor%20all%20%22Bachaumont,%20Fran%C3%A7ois%20Le%20Coigneux%20de%22%20)%20&suggest=10&keywords=Bachaumont,%20Fran%C3%A7ois%20Le%20Coigneux%20de"
18,"Barthélèmy, Jean-Jacques (1716-1795) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Barth%C3%A9l%C3%A8my%2C%20Jean-Jacques%22%20or%20dc.contributor%20all%20%22Barth%C3%A9l%C3%A8my%2C%20Jean-Jacques%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Beauharnais, Fanny de (1737-1813) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Beauharnais,%20Fanny%20de%20(1737-1813)%22%20or%20dc.contributor%20all%20%22Beauharnais,%20Fanny%20de%20(1737-1813)%22%20)%20&suggest=10&keywords=Beauharnais,%20Fanny%20de%20(1737-1813)"
18,"Beaumarchais, Pierre Augustin Caron de (1732-1799) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Beaumarchais%2C%20Pierre%20Augustin%20Caron%20de%22%20or%20dc.contributor%20all%20%22Beaumarchais%2C%20Pierre%20Augustin%20Caron%20de%22%20%29%20&filter=dc.type%20all%20%22monographie%22
18,"Bernardin de Saint-Pierre, Jacques-Henri (1737-1814) (nouvelle fenêtre)",https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&query=%28gallica%20all%20%22Bernardin%20de%20Saint-Pierre%2C%20Jacques-Henri%20%281737-1814%29%22%29&filter=dc.creator%20all%20%22bernardin%20de%20saint-pierre%2C%20henri%20%281737-1814%29.%20auteur%20du%20texte%22%20and%20dc.type%20all%20%22monographie%22
18,"Bernis, François Joachim de Pierres, cardinal de (1715-1794) (nouvelle fenêtre)","https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Bernis,%20Fran%C3%A7ois%20Joachim%20de%20Pierres,%20cardinal%20de%20%22%20or%20dc.contributor%20all%20%22Bernis,%20Fran%C3%A7ois%20Joachim%20de%20Pierres,%20cardinal%20de%20%22%20)%20&suggest=10&keywords=Bernis,%20Fran%C3%A7ois%20Joachim%20de%20Pierres,%20cardinal%20de"
