century,link,identifier,author,title,contributors,rights
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Condorcet%2C%20Jean-Antoine-Nicolas%20de%20Caritat%22%20or%20dc.contributor%20all%20%22Condorcet%2C%20Jean-Antoine-Nicolas%20de%20Caritat%22%20%29%20&filter=dc.creator%20all%20%22condorcet%2C%20jean-antoine-nicolas%20de%20caritat%20%281743-1794%20%3B%20marquis%20de%29.%20auteur%20du%20texte%22,https://gallica.bnf.fr/ark:/12148/cb44359598p/date,"Condorcet, Jean-Antoine-Nicolas de Caritat, marquis de (1743-1794) (nouvelle fenêtre)",Bibliothèque de l'homme public,[],[]
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Cottin%2C%20Sophie%20%22%20or%20dc.contributor%20all%20%22Cottin%2C%20Sophie%20%22%20%29%20&filter=dc.type%20all%20%22monographie%22,https://gallica.bnf.fr/ark:/12148/bpt6k3321633m,"Cottin, Sophie née Ristaud, Madame (1770-1807) (nouvelle fenêtre)","Petit guide d'accès à l'information juridique française : pratique de la recherche documentaire juridique / Stéphane Cottin, Sophie Moyret",[],"[""conditions spécifiques d'utilisation - Projet de numérisation des indisponibles"", 'restricted use']"
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22chatelet%20emilie%20marquise%22%20or%20dc.contributor%20all%20%22chatelet%20emilie%20marquise%22%20)%20&suggest=10&keywords=chatelet%20emilie%20marquise,https://gallica.bnf.fr/ark:/12148/cb32757820d/date,"Du Châtelet, Gabrielle-Émilie Le Tonnelier de Breteuil, Marquise (1706-1749) (nouvelle fenêtre)",Discours prononcé à la séance publique de la Société académique des Enfans d'Apollon,[],[]
18,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Fontanes,%20Louis%20de%20(1759-1821)%22%20or%20dc.contributor%20all%20%22Fontanes,%20Louis%20de%20(1759-1821)%22%20)%20&suggest=10&keywords=Fontanes,%20Louis%20de%20(1759-1821)",https://gallica.bnf.fr/ark:/12148/cb32801561v/date,"Fontanes, Louis de (1757-1821) (nouvelle fenêtre)",Journal littéraire (Paris. 1796),"['Clément, Jean Marie Bernard (1742-1812). Directeur de publication', 'Fontanes, Louis de (1759-1821). Collaborateur', 'Deschamps, Jacques-Marie (1750?-1826). Collaborateur', 'Desprès, Jean-Baptiste-Denis (1752-1832). Collaborateur']",[]
18,https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&collapsing=true&exactSearch=false&query=%28dc.creator%20all%20%22Grimod%20de%20La%20Reyni%C3%A8re%2C%20Alexandre%20Balthazar%22%20or%20dc.contributor%20all%20%22Grimod%20de%20La%20Reyni%C3%A8re%2C%20Alexandre%20Balthazar%22%20%29%20&filter=dc.creator%20all%20%22grimod%20de%20la%20reyni%C3%A8re%2C%20alexandre-balthazar-laurent%20%281758-1837%29.%20auteur%20du%20texte%22,https://gallica.bnf.fr/ark:/12148/cb343982165/date,"Grimod de La Reynière, Alexandre Balthazar (1758-1838) (nouvelle fenêtre)",Almanach des gourmands : servant de guide dans les moyens de faire excellente chère / par un vieil amateur,[],[]
18,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22%20L%27H%C3%A9ritier%20de%20Villandon,%20Marie-Jeanne%20%22%20or%20dc.contributor%20all%20%22%20L%27H%C3%A9ritier%20de%20Villandon,%20Marie-Jeanne%20%22%20)%20&suggest=10&keywords=%20L%27H%C3%A9ritier%20de%20Villandon,%20Marie-Jeanne",https://gallica.bnf.fr/ark:/12148/cb471296732/date,"L'Héritier de Villandon, Marie-Jeanne (1664-1734) (nouvelle fenêtre)","L'Erudition enjouée, ou Nouvelles sçavantes satyriques et galantes",[],[]
18,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Marmontel,%20Jean-Fran%C3%A7ois%22%20or%20dc.contributor%20all%20%22Marmontel,%20Jean-Fran%C3%A7ois%22%20)%20&suggest=12&keywords=Marmontel,%20Jean-Fran%C3%A7ois",https://gallica.bnf.fr/ark:/12148/cb328278428/date,"Marmontel, Jean-François (1723-1799) (nouvelle fenêtre)",L'Observateur littéraire,[],[]
18,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Marmontel,%20Jean-Fran%C3%A7ois%22%20or%20dc.contributor%20all%20%22Marmontel,%20Jean-Fran%C3%A7ois%22%20)%20&suggest=12&keywords=Marmontel,%20Jean-Fran%C3%A7ois",https://gallica.bnf.fr/ark:/12148/cb328143559/date,"Marmontel, Jean-François (1723-1799) (nouvelle fenêtre)","Mercure français : politique, historique et littéraire / composé par M. de La Harpe, quant à la partie littéraire ; par M. Marmontel, pour les contes ; et par M. Framery, pour les spectacles ; M. Mallet Du Pan, citoyen de Genève, est seul chargé du Mercure politique et historique","['La Harpe, Jean François de (1739-1803). Rédacteur', 'Marmontel, Jean-François (1723-1799). Rédacteur', 'Framery, Nicolas-Étienne (1745-1810). Rédacteur', 'Mallet Du Pan, Jacques (1749-1800). Rédacteur', 'Lenoir-Laroche, Jean-Jacques (1749-1825). Rédacteur']",[]
18,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Mirabeau,%20Honor%C3%A9-Gabriel%20Riquetti%22%20or%20dc.contributor%20all%20%22Mirabeau,%20Honor%C3%A9-Gabriel%20Riquetti%22%20)%20&suggest=10&keywords=Mirabeau,%20Honor%C3%A9-Gabriel%20Riquetti",https://gallica.bnf.fr/ark:/12148/cb326927615/date,"Mirabeau, Honoré-Gabriel Riquetti, comte de (1749-1791) (nouvelle fenêtre)",Analyse des papiers anglois,"['Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Directeur de publication', 'Brissot de Warville, Jacques-Pierre (1754-1793). Collaborateur']",[]
18,"https://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&exactSearch=false&collapsing=true&version=1.2&query=(dc.creator%20all%20%22Mirabeau,%20Honor%C3%A9-Gabriel%20Riquetti%22%20or%20dc.contributor%20all%20%22Mirabeau,%20Honor%C3%A9-Gabriel%20Riquetti%22%20)%20&suggest=10&keywords=Mirabeau,%20Honor%C3%A9-Gabriel%20Riquetti",https://gallica.bnf.fr/ark:/12148/cb32750751q/date,"Mirabeau, Honoré-Gabriel Riquetti, comte de (1749-1791) (nouvelle fenêtre)",Courier de Provence . Pour servir de suite aux Lettres du comte de Mirabeau à ses commettans,"['Mirabeau, Honoré-Gabriel Riquetti comte de (1749-1791). Directeur de publication', 'Dumont, Étienne (1759-1829). Rédacteur', 'Duroveray, Jacques-Antoine. Rédacteur', 'Reybaz, Étienne-Salomon. Rédacteur', 'Méjan, Étienne (1766-1846). Collaborateur', 'Clavière, Étienne (1735-1793). Collaborateur', 'Casaux, Alexandre (1727-1796 ; marquis de). Collaborateur', 'Lamourette, Antoine-Adrien (1742-1794). Collaborateur', 'Salaville, Jean-Baptiste (1755-1832). Collaborateur', 'Chamfort, Sébastien-Roch-Nicolas de (1741?-1794). Collaborateur']",[]
