EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	08:46:36	0.0080	1.3293	0.9445	0.9236	0.8529	0.8869	0.8170
2	08:47:46	0.0080	0.8326	0.8200	0.9317	0.8824	0.9063	0.8431
3	08:48:54	0.0080	0.6538	0.8230	0.9333	0.9059	0.9194	0.8627
4	08:50:02	0.0080	0.4825	0.9142	0.9181	0.9235	0.9208	0.8562
5	08:51:10	0.0080	0.3485	0.9722	0.8895	0.9471	0.9174	0.8366
6	08:52:16	0.0080	0.2964	1.6987	0.8869	0.8765	0.8817	0.8105
7	08:53:22	0.0080	0.1780	1.2950	0.9064	0.9118	0.9091	0.8366
8	08:54:31	0.0080	0.1256	1.4977	0.9118	0.9118	0.9118	0.8431
9	08:55:40	0.0040	0.0811	1.6433	0.9059	0.9059	0.9059	0.8366
10	08:56:49	0.0040	0.0574	1.5191	0.8966	0.9176	0.9070	0.8366
