identifier,datestamp,setSpec,@xmlns:dc,@xmlns:oai_dc,@xmlns:xsi,@xsi:schemaLocation,dc:identifier,dc:title,dc:creator,dc:publisher,dc:date,dc:format,dc:language,dc:relation,dc:type,dc:source,dc:rights,dc:description,provenance,sdewey,dewey,source,typedoc,nqamoyen,mode_indexation,title,date,first_indexation_date,streamable
oai:bnf.fr:gallica/ark:/12148/bpt6k996278q,2021-09-17,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k996278q,Le château noir. Le coeur d'Ivana / Gaston Leroux,"Leroux, Gaston (1868-1927). Auteur du texte",Pierre Lafitte (Paris),1933,"['2 vol. (192, 190 p.) : couv. ill. en coul. ; in-16', 'Nombre total de vues :  196']",fre,"[""Notice d'ensemble : http://catalogue.bnf.fr/ark:/12148/cb32376077n"", 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32376077n']","[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-79024 (26)","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]","[""Collection : Le Point d'interrogation : collection de romans d'aventures ; n° 26-27"", ""Collection : Le Point d'interrogation ; n° 26-27""]",bnf.fr,,,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-79024 (26)",monographie,0.0,,Le château noir. Le coeur d'Ivana / Gaston Leroux,1933,27/06/2021,false
oai:bnf.fr:gallica/ark:/12148/bpt6k208636r,2019-07-20,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k208636r,"L'anneau d'améthyste (Ed. rev. et corr. par l'auteur) / Anatole France,...","France, Anatole (1844-1924). Auteur du texte",(Paris),1924,"['421 p. ; 20 cm', 'Nombre total de vues :  426']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb391334069,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]",Bibliothèque nationale de France,"[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",Avec mode texte,bnf.fr,84,8,Bibliothèque nationale de France,monographie,99.94,text,"L'anneau d'améthyste (Ed. rev. et corr. par l'auteur) / Anatole France,...",1924,15/10/2007,false
oai:bnf.fr:gallica/ark:/12148/bpt6k3410328x,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k3410328x,Visite chez le prince / Jean Giraudoux ; frontispice gravé par Daragnès,"Giraudoux, Jean (1882-1944). Auteur du texte",Emile-Paul frères (Paris),1924,"['1 vol. (75 p.) : figure au titre, planche gr ; in-8', 'Nombre total de vues :  100']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32170031j,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]","Bibliothèque nationale de France, département Littérature et art, 16-Y2-14802","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 16-Y2-14802",monographie,0.0,,Visite chez le prince / Jean Giraudoux ; frontispice gravé par Daragnès,1924,22/04/2018,false
oai:numelyo.bm-lyon.fr:BML:BML_00GOO0100137001104515049,2022-01-27T10:05:27.842Z,,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001104515049,Le feu : journal d'une escouade,"Barbusse, Henri, 1873-1935, Auteur",Flammarion                                             (Paris),1916,"['1 livre', '1 vol. (378 p.), in-16', 'application/xhtml+xml']",fre,vignette : https://numelyo.bm-lyon.fr/BML:BML_00GOO0100137001104515049/thumbnail_JPG00000007.jpg,"[{'@xml:lang': 'fre', '#text': 'texte imprimé'}, {'@xml:lang': 'eng', '#text': 'text'}]","Bibliothèque municipale de Lyon, SJ B 751/14",Licence Ouverte-Open Licence,"A fait l'objet d'une analyse par Jean Norton Cru dans ""Témoins"" (1929).",bmlyon,,,"Bibliothèque municipale de Lyon, SJ B 751/14",monographie,0.0,,Le feu : journal d'une escouade,1916,08/02/2022,false
oai:bnf.fr:gallica/ark:/12148/bpt6k15258415,2019-12-14,"['gallica:theme:0:00', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k15258415,Amica America. Un voyage de Jean Giraudoux,"Giraudoux, Jean (1882-1944). Auteur du texte",,1918,Nombre total de vues :  153,"['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32169815g,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]","Bibliothèque nationale de France, département Réserve des livres rares, RES 8-PB-6008","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",,bnf.fr,00,0,"Bibliothèque nationale de France, département Réserve des livres rares, RES 8-PB-6008",monographie,0.0,,Amica America. Un voyage de Jean Giraudoux,1918,22/12/2019,false
oai:bnf.fr:gallica/ark:/12148/bpt6k1057800g,2020-07-31,gallica:typedoc:monographies,http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k1057800g,Toute licence sauf contre l'amour / par Maurice Barrès,"Barrès, Maurice (1862-1923). Auteur du texte",,1892,Nombre total de vues :  109,"['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb31766436h,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]","Bibliothèque nationale de France, département Réserve des livres rares, RES P-R-801","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",,bnf.fr,,,"Bibliothèque nationale de France, département Réserve des livres rares, RES P-R-801",monographie,0.0,,Toute licence sauf contre l'amour / par Maurice Barrès,1892,30/03/2015,false
oai:bnf.fr:gallica/ark:/12148/bpt6k15101193,2019-10-04,"['gallica:theme:0:00', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k15101193,Correspondance inédite (1870-1875) d'Arthur Rimbaud / précédée d'une introduction de Roger Gilbert-Lecomte,"['Rimbaud, Arthur (1854-1891). Auteur du texte', 'Nouveau, Germain (1851-1920). Auteur du texte', 'Rimbaud, Vitalie (1825-1907). Auteur du texte']",(Paris),1929,"['99 p. ; 20 cm', 'Nombre total de vues :  105']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb35671474f,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]","Bibliothèque nationale de France, département Réserve des livres rares, RES P-Z-2432","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",Correspondance,bnf.fr,00,0,"Bibliothèque nationale de France, département Réserve des livres rares, RES P-Z-2432",monographie,0.0,,Correspondance inédite (1870-1875) d'Arthur Rimbaud / précédée d'une introduction de Roger Gilbert-Lecomte,1929,24/10/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k97831052,2022-06-22,"['gallica:theme:7:79', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k97831052,"Ondine : pièce en trois actes, d'après le conte de Frédéric de La Motte Fouqué / Jean Giraudoux","Giraudoux, Jean (1882-1944). Auteur du texte",B. Grasset (Paris),1939,"['1 vol. (226 p.) ; in-16', 'Nombre total de vues :  244']",fre,"['Notice d’oeuvre : http://catalogue.bnf.fr/ark:/12148/cb119557481', 'Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32169945p']","[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}]","Bibliothèque nationale de France, département Littérature et art, 8-YTH-41976","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]","['[Ondine (français)]', 'Avec mode texte']",bnf.fr,79,7,"Bibliothèque nationale de France, département Littérature et art, 8-YTH-41976",monographie,99.74,text,"Ondine : pièce en trois actes, d'après le conte de Frédéric de La Motte Fouqué / Jean Giraudoux",1939,14/01/2018,false
oai:bnf.fr:gallica/ark:/12148/bpt6k9690500g,2018-04-26,"['gallica:theme:8:84', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k9690500g,"La peur de l'amour : roman / Henri de Régnier,... ; illustré de bois originaux de Gaston Pastré","Régnier, Henri de (1864-1936). Auteur du texte",A. Plicque (Paris),1925,"['1 vol. (285 p.) : fig. ; in-8', 'Nombre total de vues :  316']","['fre', 'français']",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb311892122,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'monographie imprimée'}]","Bibliothèque nationale de France, département Littérature et art, 8-Y2-70019","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",Avec mode texte,bnf.fr,84,8,"Bibliothèque nationale de France, département Littérature et art, 8-Y2-70019",monographie,99.96,text,"La peur de l'amour : roman / Henri de Régnier,... ; illustré de bois originaux de Gaston Pastré",1925,22/05/2016,false
oai:bnf.fr:gallica/ark:/12148/bpt6k1512379p,2022-06-22,"['gallica:theme:0:00', 'gallica:typedoc:monographies']",http://purl.org/dc/elements/1.1/,http://www.openarchives.org/OAI/2.0/oai_dc/,http://www.w3.org/2001/XMLSchema-instance,http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd,https://gallica.bnf.fr/ark:/12148/bpt6k1512379p,Socialisme fasciste... / Drieu la Rochelle,"Drieu La Rochelle, Pierre (1893-1945). Auteur du texte",Gallimard (Paris),1934,"['248 p. ; 19 cm', 'Nombre total de vues :  257']",fre,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb320449091,"[{'@xml:lang': 'eng', '#text': 'text'}, {'@xml:lang': 'fre', '#text': 'monographie imprimée'}, {'@xml:lang': 'eng', '#text': 'printed monograph'}]","Bibliothèque nationale de France, département Réserve des livres rares, RES-Z LE MASLE-135","[{'@xml:lang': 'fre', '#text': 'domaine public'}, {'@xml:lang': 'eng', '#text': 'public domain'}]",,bnf.fr,00,0,"Bibliothèque nationale de France, département Réserve des livres rares, RES-Z LE MASLE-135",monographie,0.0,,Socialisme fasciste... / Drieu la Rochelle,1934,05/06/2017,false
